Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Fixed_Rate_Term,Source
 2018-06-05,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Mortgages,Mortgages,30YMV,2 Year Fixed Rate,,Offline,30.0,Variable,1.79%,4.5%,72000.0,25%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Mortgages,Mortgages,30YMV,2 Year Fixed Rate - Fee Offer,,Offline,30.0,Variable,2.54%,4.6%,72000.0,25%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Mortgages,Mortgages,30YMV,5 Year Fixed Rate,,Offline,30.0,Variable,2.59%,4.2%,72000.0,25%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Mortgages,Mortgages,30YMV,5 Year Fixed Rate - Fee Offer,,Offline,30.0,Variable,2.94%,4.2%,72000.0,25%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Mortgages,Mortgages,30YMV,2 Year Fixed Rate,,Offline,30.0,Variable,1.79%,4.5%,216000.0,25%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Mortgages,Mortgages,30YMV,2 Year Fixed Rate - Fee Offer,,Offline,30.0,Variable,2.54%,4.6%,216000.0,25%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Mortgages,Mortgages,30YMV,5 Year Fixed Rate,,Offline,30.0,Variable,2.59%,4.2%,216000.0,25%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Mortgages,Mortgages,30YMV,5 Year Fixed Rate - Fee Offer,,Offline,30.0,Variable,2.94%,4.2%,216000.0,25%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Mortgages,Mortgages,30YMV,2 Year Fixed Rate,,Offline,30.0,Variable,1.79%,4.5%,360000.0,25%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Mortgages,Mortgages,30YMV,2 Year Fixed Rate - Fee Offer,,Offline,30.0,Variable,2.54%,4.6%,360000.0,25%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
