Error Location,Error Type,Row Number,Value,Column Name,Bank_Name
allowedFieldError,Value Not found,3,24.0,Term_in_Months,The Co-operative Bank
allowedFieldError,Value Not found,31,24.0,Term_in_Months,Bank of Scotland
allowedFieldError,Value Not found,32,24.0,Term_in_Months,Bank of Scotland
allowedFieldError,Value Not found,39,24.0,Term_in_Months,Barclays
allowedFieldError,Value Not found,41,24.0,Term_in_Months,Barclays
allowedFieldError,Value Not found,57,24.0,Term_in_Months,Clydesdale Bank
allowedFieldError,Value Not found,63,24.0,Term_in_Months,Halifax
allowedFieldError,Value Not found,64,24.0,Term_in_Months,Halifax
allowedFieldError,Value Not found,65,24.0,Term_in_Months,Halifax
allowedFieldError,Value Not found,78,24.0,Term_in_Months,Lloyds Bank
allowedFieldError,Value Not found,83,24.0,Term_in_Months,Metro Bank
allowedFieldError,Value Not found,85,60.0,Term_in_Months,Metro Bank
allowedFieldError,Value Not found,86,3.0,Term_in_Months,Metro Bank
allowedFieldError,Value Not found,89,18.0,Term_in_Months,Metro Bank
allowedFieldError,Value Not found,98,24.0,Term_in_Months,NatWest
allowedFieldError,Value Not found,99,24.0,Term_in_Months,NatWest
allowedFieldError,Value Not found,102,24.0,Term_in_Months,NatWest
allowedFieldError,Value Not found,103,24.0,Term_in_Months,NatWest
allowedFieldError,Value Not found,111,24.0,Term_in_Months,Royal Bank Of Scotland
allowedFieldError,Value Not found,112,24.0,Term_in_Months,Royal Bank Of Scotland
allowedFieldError,Value Not found,115,24.0,Term_in_Months,Royal Bank Of Scotland
allowedFieldError,Value Not found,116,24.0,Term_in_Months,Royal Bank Of Scotland
allowedFieldError,Value Not found,121,24.0,Term_in_Months,Santander Bank
allowedFieldError,Value Not found,126,24.0,Term_in_Months,Santander Bank
allowedFieldError,Value Not found,130,24.0,Term_in_Months,TSB
allowedFieldError,Value Not found,136,24.0,Term_in_Months,Virgin Money Plc.
allowedFieldError,Value Not found,163,60.0,Term_in_Months,Virgin Money Plc.
allowedFieldError,Value Not found,164,60.0,Term_in_Months,Metro Bank
allowedFieldError,Value Not found,166,24.0,Term_in_Months,Virgin Money Plc.
allowedFieldError,Value Not found,169,24.0,Term_in_Months,Barclays
allowedFieldError,Value Not found,170,24.0,Term_in_Months,Metro Bank
allowedFieldError,Value Not found,174,24.0,Term_in_Months,Barclays
allowedFieldError,Value Not found,182,24.0,Term_in_Months,TSB
allowedFieldError,Value Not found,183,24.0,Term_in_Months,Santander Bank
allowedFieldError,Value Not found,186,24.0,Term_in_Months,Halifax
allowedFieldError,Value Not found,192,24.0,Term_in_Months,Santander Bank
allowedFieldError,Value Not found,193,24.0,Term_in_Months,Bank of Scotland
allowedFieldError,Value Not found,194,24.0,Term_in_Months,Lloyds Bank
allowedFieldError,Value Not found,210,24.0,Term_in_Months,Clydesdale Bank
allowedFieldError,Value Not found,216,24.0,Term_in_Months,Barclays
allowedFieldError,Value Not found,217,24.0,Term_in_Months,Barclays
allowedFieldError,Value Not found,219,24.0,Term_in_Months,NatWest
allowedFieldError,Value Not found,220,24.0,Term_in_Months,Royal Bank Of Scotland
allowedFieldError,Value Not found,227,24.0,Term_in_Months,TSB
allowedFieldError,Value Not found,230,24.0,Term_in_Months,HSBC
allowedFieldError,Value Not found,231,24.0,Term_in_Months,Halifax
allowedFieldError,Value Not found,232,24.0,Term_in_Months,Santander Bank
allowedFieldError,Value Not found,233,24.0,Term_in_Months,Bank of Scotland
allowedFieldError,Value Not found,235,24.0,Term_in_Months,Lloyds Bank
allowedFieldError,Value Not found,236,24.0,Term_in_Months,Lloyds Bank
allowedFieldError,Value Not found,296,24.0,Term_in_Months,Barclays
allowedFieldError,Value Not found,297,24.0,Term_in_Months,Barclays
allowedFieldError,Value Not found,298,24.0,Term_in_Months,Barclays
allowedFieldError,Value Not found,299,24.0,Term_in_Months,Barclays
allowedFieldError,Value Not found,300,24.0,Term_in_Months,Barclays
allowedFieldError,Value Not found,301,24.0,Term_in_Months,Barclays
allowedFieldError,Value Not found,306,24.0,Term_in_Months,Halifax
allowedFieldError,Value Not found,307,24.0,Term_in_Months,Halifax
allowedFieldError,Value Not found,325,24.0,Term_in_Months,NatWest
allowedFieldError,Value Not found,329,24.0,Term_in_Months,Santander Bank
allowedFieldError,Value Not found,330,24.0,Term_in_Months,Bank of Scotland
typeFieldError,Type Not Found,299,1,Interest,Barclays
typeFieldError,Type Not Found,300,1,Interest,Barclays
typeFieldError,Type Not Found,301,1,Interest,Barclays
typeFieldError,Type Not Found,302,1,Interest,Metro Bank
typeFieldError,Type Not Found,303,1,Interest,Metro Bank
typeFieldError,Type Not Found,33,2,AER,Bank of Scotland
typeFieldError,Type Not Found,134,5,AER,TSB
typeFieldError,Type Not Found,299,1,AER,Barclays
typeFieldError,Type Not Found,300,1,AER,Barclays
typeFieldError,Type Not Found,301,1,AER,Barclays
typeFieldError,Type Not Found,302,1,AER,Metro Bank
typeFieldError,Type Not Found,303,1,AER,Metro Bank
Comparison Error,Not Possible to compare the give Two values,19,"['1.20% ', '1.20% ']",Interest,Bank of Ireland
Comparison Error,Not Possible to compare the give Two values,20,"['0.25% ', '0.25% ']",Interest,Bank of Ireland
Comparison Error,Not Possible to compare the give Two values,21,"['0.25% ', '0.24% ']",Interest,Bank of Ireland
Comparison Error,Not Possible to compare the give Two values,22,"['1.35% ', '1.35% ']",Interest,Bank of Ireland
Comparison Error,Not Possible to compare the give Two values,23,"['0.25% ', '0.25% ']",Interest,Bank of Ireland
Comparison Error,More Than Expected Value,24,"[0.1, 0.04]",Interest,Bank of Ireland
Comparison Error,Not Possible to compare the give Two values,26,"['0.40% ', '1.19% ']",Interest,Bank of Ireland
Comparison Error,Not Possible to compare the give Two values,27,"['0.00% ', '0.00% ']",Interest,Bank of Ireland
Comparison Error,Not Possible to compare the give Two values,28,"['0.20% ', '0.20% ']",Interest,Bank of Scotland
Comparison Error,Not Possible to compare the give Two values,29,"['2.50% ', '2.50% ']",Interest,Bank of Scotland
Comparison Error,Not Possible to compare the give Two values,30,"['0.35%  ', '0.35%  ']",Interest,Bank of Scotland
Comparison Error,Not Possible to compare the give Two values,31,"['0.50%  ', '0.50%  ']",Interest,Bank of Scotland
Comparison Error,Not Possible to compare the give Two values,32,"['0.50% ', '0.50% ']",Interest,Bank of Scotland
Comparison Error,More Than Expected Value,33,"[2.0, 1.98]",Interest,Bank of Scotland
Comparison Error,Not Possible to compare the give Two values,80,"['0.40%    ', '0.40%    ']",Interest,Metro Bank
Comparison Error,Not Possible to compare the give Two values,81,"['0.75%    ', '0.75%    ']",Interest,Metro Bank
Comparison Error,Not Possible to compare the give Two values,82,"['1.25%    ', '1.25%    ']",Interest,Metro Bank
Comparison Error,Not Possible to compare the give Two values,83,"['1.40%    ', '1.40%    ']",Interest,Metro Bank
Comparison Error,Not Possible to compare the give Two values,84,"['1.50%    ', '1.50%    ']",Interest,Metro Bank
Comparison Error,Not Possible to compare the give Two values,85,"['1.75%    ', '1.75%    ']",Interest,Metro Bank
Comparison Error,Not Possible to compare the give Two values,86,"['0.75%     ', '0.75%     ']",Interest,Metro Bank
Comparison Error,Not Possible to compare the give Two values,87,"['1.00%     ', '1.00%     ']",Interest,Metro Bank
Comparison Error,Not Possible to compare the give Two values,88,"['1.30%     ', '1.30%     ']",Interest,Metro Bank
Comparison Error,Not Possible to compare the give Two values,89,"['1.40%     ', '1.40%     ']",Interest,Metro Bank
Comparison Error,Not Possible to compare the give Two values,90,"['1.60%     ', '1.60%     ']",Interest,Metro Bank
Comparison Error,More Than Expected Value,134,"[5.0, 4.89]",Interest,TSB
Expectation Error,Expected data not Found,85,"['Savings', '60MSBF']","['Bank_Product_Type', 'Bank_Product_Code']",Metro Bank
Expectation Error,Expected data not Found,86,"['Savings', '3MSBF']","['Bank_Product_Type', 'Bank_Product_Code']",Metro Bank
Expectation Error,Expected data not Found,89,"['Savings', '18MSBF']","['Bank_Product_Type', 'Bank_Product_Code']",Metro Bank
Expectation Error,Expected data not Found,163,"['Savings', '60MSBF']","['Bank_Product_Type', 'Bank_Product_Code']",Virgin Money Plc.
Expectation Error,Expected data not Found,164,"['Savings', '60MSBF']","['Bank_Product_Type', 'Bank_Product_Code']",Metro Bank
