 B&Bs, apartments, boats, cabins, campgrounds, capsule hotels, cottages, country houses, economy hotels, farm stays, guest houses, homestays, hostels, inns, lodges, love hotels, luxury tents, motels, resort villages, resorts, riads, ryokans, serviced apartments, vacation homes, vacation rentals, villas,CountryName,No of Hotels,Date
9,318,,7,3,,10,3,,,7,7,,,,,,,,,,,10,14,354,14,Andorra,604,06-13-2018
11,"1,125",,,3,,94,,,7,10,13,8,,,,,,,102,,,245,107,"1,250",107,United Arab Emirates,"2,434",06-13-2018
,,,,,,,,,,,,,,,,,,,,,,,,,,Afghanistan,3,06-13-2018
13,30,,,,,22,,,,3,4,,,,,,,,19,,,16,29,74,29,Antigua & Barbuda,152,06-13-2018
,7,,,,,4,,,,,,,,,,,,,3,,,4,6,13,6,Anguilla,54,06-13-2018
424,"1,823",,,10,,97,14,,6,348,359,75,5,3,,,,3,24,,,42,183,"2,430",183,Albania,"3,754",06-13-2018
366,"1,231",,3,6,,101,25,,,227,248,107,30,,,,10,3,24,,,25,185,"1,794",185,Armenia,"2,643",06-13-2018
19,18,,,,,,,,,11,11,,,,,,,,6,,,7,,36,,Angola,145,06-13-2018
,,,,,,,,,,,,,,,,,,,,,,,,,,American Samoa,3,06-13-2018
"3,833","14,454",,897,31,,"1,711",47,,701,"2,725","3,106",95,461,46,,3,34,38,29,,,469,"2,212","22,106","2,212",Austria,"30,188",06-13-2018
"1,946","8,016",9,169,112,,"1,287",243,10,181,504,640,384,104,421,,29,"2,527",655,629,,,"1,811","6,068","17,301","6,068",Australia,"27,083",06-13-2018
14,197,,,,,73,,,,9,12,3,,,,,,,28,,,19,107,321,107,Aruba,468,06-13-2018
116,956,,5,,,235,16,5,,98,110,80,4,3,,,5,,25,,,10,318,"1,396",318,Azerbaijan,"2,197",06-13-2018
720,"2,457",,34,16,,222,20,,5,574,585,121,33,16,,,124,10,8,,,14,581,"3,788",581,Bosnia and Herzegovina,"5,112",06-13-2018
28,234,,,,,133,3,,,20,24,,3,,,,,,15,,,16,184,448,184,Barbados,591,06-13-2018
30,30,,,,,3,,5,,20,24,,4,,,,,,49,,,4,3,65,3,Bangladesh,444,06-13-2018
"1,794","1,985",11,187,39,,399,28,,23,262,313,66,15,8,3,9,5,42,9,,,85,"2,685","6,816","2,685",Belgium,"8,928",06-13-2018
