Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Source
 2018-04-09,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,,30 Yr Fixed,,Offline,30,Fixed,4.625%,4.718%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
 2018-04-09,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,,30 Yr Fixed,,Online,30,Fixed,4.500%,4.525%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
 2018-04-09,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,,5/1 ARM Adjustable,,Offline,30,Variable,4.625%,4.904%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
 2018-04-09,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,,5/1 ARM Adjustable,,Online,30,Variable,4.625%,4.836%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
 2018-04-09,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,,7/1 ARM Adjustable,,Offline,30,Variable,4.625%,4.869%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
 2018-04-09,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,,7/1 ARM Adjustable,,Online,30,Variable,4.500%,4.741%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
 2018-04-09,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,,10/1 ARM Adjustable,,Offline,30,Variable,4.625%,4.826%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
 2018-04-09,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,,10/1 ARM Adjustable,,Online,30,Variable,4.375%,4.602%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
 2018-04-09,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,,20 Yr Fixed,,Offline,20,Fixed,4.500%,4.626%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
 2018-04-09,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,,15 Yr Fixed,,Offline,15,Fixed,4.125%,4.284%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
