Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode
 2018-03-15,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMF,Fixed Rate Mortgage _ 30-yr,,Online,30.0,Fixed,4.500%,4.521%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,20YMF,Fixed Rate Mortgage _ 20-yr,,Online,20.0,Fixed,4.250%,4.282%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,15YMF,Fixed Rate Mortgage _ 15-yr,,Online,15.0,Fixed,4.000%,4.064%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,10YMF,Fixed Rate Mortgage _ 10-yr,,Online,10.0,Fixed,4.000%,4.088%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 10/1,,Online,30.0,Variable,4.250%,4.518%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 7/1,,Online,30.0,Variable,4.375%,4.669%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 5/1,,Online,30.0,Variable,4.375%,4.726%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMF,30-year fixed,,Offline,30.0,Fixed,4.375%,4.725%,"$100,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,20YMF,20-year fixed,,Offline,20.0,Fixed,4.250%,4.733%,"$100,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,15YMF,15-year fixed,,Offline,15.0,Fixed,4.000%,4.635%,"$100,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM,,Offline,30.0,Variable,4.250%,4.861%,"$100,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30.0,Variable,4.000%,4.818%,"$100,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM,,Offline,30.0,Variable,4.000%,4.924%,"$100,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMF,30-year fixed,,Offline,30.0,Fixed,4.250%,4.392%,"$300,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,20YMF,20-year fixed,,Offline,20.0,Fixed,4.125%,4.318%,"$300,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,15YMF,15-year fixed,,Offline,15.0,Fixed,3.875%,4.148%,"$300,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM,,Offline,30.0,Variable,4.000%,4.506%,"$300,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30.0,Variable,3.750%,4.490%,"$300,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM,,Offline,30.0,Variable,3.750%,4.617%,"$300,000",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMF,30-year fixed,,Offline,30.0,Fixed,4.38%,4.47%,"$500,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,15YMF,15-year fixed,,Offline,15.0,Fixed,4.00%,4.25%,"$500,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30.0,Variable,4.50%,4.82%,"$500,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM,,Offline,30.0,Variable,4.63%,4.92%,"$500,000 ",20%,740,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30.0,Fixed,4.375%,4.786%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,20YMF,20 Year Fixed,,Offline,20.0,Fixed,4.250%,4.703%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15.0,Fixed,3.750%,4.358%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,10YMF,10 Year Fixed,,Offline,10.0,Fixed,3.750%,4.492%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30.0,Variable,4.250%,4.877%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30.0,Variable,4.250%,4.969%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30.0,Variable,4.250%,5.031%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30.0,Variable,4.500%,5.216%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30.0,Fixed,4.375%,4.634%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,20YMF,20 Year Fixed,,Offline,20.0,Fixed,4.250%,4.498%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15.0,Fixed,3.750%,4.1%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,10YMF,10 Year Fixed,,Offline,10.0,Fixed,3.750%,4.124%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30.0,Variable,4.250%,4.727%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30.0,Variable,4.250%,4.818%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30.0,Variable,4.250%,4.88%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30.0,Variable,4.500%,5.061%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30.0,Fixed,5.000%,5.211%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15.0,Fixed,4.625%,4.895%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30.0,Variable,4.625%,5.087%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30.0,Variable,4.625%,5.067%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30.0,Variable,4.625%,5.153%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_30-yr,, Offline ,30.0,Fixed,4.750%,5.024%,"100,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,20YMF,Mortgage_20-yr,, Offline ,20.0,Fixed,4.500%,4.871%,"100,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,15YMF,Mortgage_15-yr,, Offline ,15.0,Fixed,4.375%,4.827%,"100,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_7/1,, Offline ,30.0,Fixed,4.500%,5.123%,"100,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_5/1,, Offline ,30.0,Fixed,4.875%,5.209%,"100,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
