Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Source
 2018-03-29,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMF,Fixed Rate Mortgage _ 30-yr,,Online,30,Fixed,4.50%,4.52%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,20YMF,Fixed Rate Mortgage _ 20-yr,,Online,20,Fixed,4.38%,4.38%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,15YMF,Fixed Rate Mortgage _ 15-yr,,Online,15,Fixed,4.13%,4.13%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,10YMF,Fixed Rate Mortgage _ 10-yr,,Online,10,Fixed,4.13%,4.19%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 10/1,,Online,30,Variable,4.25%,4.51%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 7/1,,Online,30,Variable,4.38%,4.66%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 5/1,,Online,30,Variable,4.38%,4.72%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,30-year fixed,,Offline,30,Fixed,4.25%,4.62%,100000,20%,740,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,20YMF,20-year fixed,,Offline,20,Fixed,4.25%,4.71%,100000,20%,740,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-03-29,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,15YMF,15-year fixed,,Offline,15,Fixed,4.00%,4.60%,100000,20%,740,New Purchase,Primary Residence,Principal + Interest,Bank Website
