Date,Bank Name,Tab Name,Product Type,Product Name,Balance,Interest Rate,APY
03-01-2018,Citi Bank,CHECKING & SAVINGS,Checking Account,Interest Checking Account,"Below $25,000",0.01%,0.01%
03-01-2018,Citi Bank,CHECKING & SAVINGS,Checking Account,Interest Checking Account,"$25,000-$49,999.99",0.01%,0.01%
03-01-2018,Citi Bank,CHECKING & SAVINGS,Checking Account,Interest Checking Account,"$50,000+",0.01%,0.01%
03-01-2018,Citi Bank,CHECKING & SAVINGS,Savings Account,Citibank Account Package1,"Below $10,000",0.04%,0.04%
03-01-2018,Citi Bank,CHECKING & SAVINGS,Savings Account,Citibank Account Package1,"$10,000-$24,999.99",0.04%,0.04%
03-01-2018,Citi Bank,CHECKING & SAVINGS,Savings Account,Citibank Account Package1,"$25,000-$49,999.99",0.08%,0.08%
03-01-2018,Citi Bank,CHECKING & SAVINGS,Savings Account,Citibank Account Package1,"$50,000-$99,999.99",0.08%,0.08%
03-01-2018,Citi Bank,CHECKING & SAVINGS,Savings Account,Citibank Account Package1,"$100,000-$499,999.99",0.10%,0.10%
03-01-2018,Citi Bank,CHECKING & SAVINGS,Savings Account,Citibank Account Package1,"$500,000-$999,999.99",0.13%,0.13%
03-01-2018,Citi Bank,CHECKING & SAVINGS,Savings Account,Citibank Account Package1,"$1,000,000+",0.13%,0.13%
03-01-2018,Citi Bank,CHECKING & SAVINGS,Savings Account,Basic Banking Package,"Below $10,000",0.04%,0.04%
03-01-2018,Citi Bank,CHECKING & SAVINGS,Savings Account,Basic Banking Package,"$10,000-$24,999.99",0.04%,0.04%
03-01-2018,Citi Bank,CHECKING & SAVINGS,Savings Account,Basic Banking Package,"$25,000-$49,999.99",0.06%,0.06%
03-01-2018,Citi Bank,CHECKING & SAVINGS,Savings Account,Basic Banking Package,"$50,000-$99,999.99",0.06%,0.06%
03-01-2018,Citi Bank,CHECKING & SAVINGS,Savings Account,Basic Banking Package,"$100,000-$499,999.99",0.06%,0.06%
03-01-2018,Citi Bank,CHECKING & SAVINGS,Savings Account,Basic Banking Package,"$500,000-$999,999.99",0.06%,0.06%
03-01-2018,Citi Bank,CHECKING & SAVINGS,Savings Account,Basic Banking Package,"$1,000,000+",0.06%,0.06%
03-01-2018,Citi Bank,CHECKING & SAVINGS,Savings Account,Access Account Package,"Below $10,000",0.04%,0.04%
03-01-2018,Citi Bank,CHECKING & SAVINGS,Savings Account,Access Account Package,"$10,000-$24,999.99",0.04%,0.04%
03-01-2018,Citi Bank,CHECKING & SAVINGS,Savings Account,Access Account Package,"$25,000-$49,999.99",0.06%,0.06%
03-01-2018,Citi Bank,CHECKING & SAVINGS,Savings Account,Access Account Package,"$50,000-$99,999.99",0.06%,0.06%
03-01-2018,Citi Bank,CHECKING & SAVINGS,Savings Account,Access Account Package,"$100,000-$499,999.99",0.06%,0.06%
03-01-2018,Citi Bank,CHECKING & SAVINGS,Savings Account,Access Account Package,"$500,000-$999,999.99",0.06%,0.06%
03-01-2018,Citi Bank,CHECKING & SAVINGS,Savings Account,Access Account Package,"$1,000,000+",0.06%,0.06%
