Date,Bank_Name,Bank_Product,Bank_Product_Type,Bank_Offer_Feature,Bank_Product_Name,Product_Term,Balance,Product_Interest,Product_Apy,Mortgage_Down_Payment,Mortgage_Loan,Min_Credit_Score_Mortagage,Mortgage_Apr
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,Checking,offline,Performance Interest Checking,,"$2,000.00 - $9,999.99",0.01%,0.01%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,Checking,offline,Performance Interest Checking,,"$10,000.00 - $49,999.99",0.01%,0.01%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,Checking,offline,Performance Interest Checking,,"$50,000.00 - $99,999.99",0.01%,0.01%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,Checking,offline,Performance Interest Checking,,"$100,000.00 and above",0.01%,0.01%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,Checking,offline,Performance Select Interest Checking,,"$2,000.00 - $9,999.99",0.01%,0.01%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,Checking,offline,Performance Select Interest Checking,,"$10,000.00 - $49,999.99",0.01%,0.01%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,Checking,offline,Performance Select Interest Checking,,"$50,000.00 - $99,999.99",0.01%,0.01%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,Checking,offline,Performance Select Interest Checking,,"$100,000.00 and above",0.01%,0.01%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,Checking,offline,Standard Savings,,"$1.00 - $2,499.99",0.01%,0.01%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,Savings,offline,Standard Savings,,"$2,500.00 and above",0.01%,0.01%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,Savings,offline,'S' is for Savings,,$1.00 - $499.99,0.01%,0.01%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,Savings,offline,'S' is for Savings,,"$500.00 - $1,499.99",0.01%,0.01%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,Savings,offline,'S' is for Savings,,"$1,500.00 and above",0.01%,0.01%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,CDs,offline,6 MONTHS,6,$1.00 - $999.99,0.04%,0.04%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,CDs,offline,6 MONTHS,6,"$1,000.00 - $9,999.99",0.06%,0.06%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,CDs,offline,6 MONTHS,6,"$10,000.00 - $24,999.99",0.08%,0.08%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,CDs,offline,6 MONTHS,6,"$25,000.00 - $99,999.99",0.10%,0.10%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,CDs,offline,6 MONTHS,6,"$100,000.00 - $499,999.99",0.12%,0.12%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,CDs,offline,6 MONTHS,6,"$500,000.00 and above",0.14%,0.14%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,CDs,offline,12 MONTHS,12,$1.00 - $999.99,0.04%,0.04%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,CDs,offline,12 MONTHS,12,"$1,000.00 - $9,999.99",0.15%,0.15%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,CDs,offline,12 MONTHS,12,"$10,000.00 - $24,999.99",0.18%,0.18%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,CDs,offline,12 MONTHS,12,"$25,000.00 - $99,999.99",0.20%,0.20%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,CDs,offline,12 MONTHS,12,"$100,000.00 - $499,999.99",0.22%,0.22%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,CDs,offline,12 MONTHS,12,"$500,000.00 and above",0.24%,0.24%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,CDs,offline,24 MONTHS,24,$1.00 - $999.99,0.04%,0.04%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,CDs,offline,24 MONTHS,24,"$1,000.00 - $9,999.99",0.25%,0.25%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,CDs,offline,24 MONTHS,24,"$10,000.00 - $24,999.99",0.30%,0.30%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,CDs,offline,24 MONTHS,24,"$25,000.00 - $99,999.99",0.35%,0.35%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,CDs,offline,24 MONTHS,24,"$100,000.00 - $499,999.99",0.40%,0.40%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,CDs,offline,24 MONTHS,24,"$500,000.00 and above",0.45%,0.45%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,CDs,offline,36 MONTHS,36,$1.00 - $999.99,0.04%,0.04%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,CDs,offline,36 MONTHS,36,"$1,000.00 - $9,999.99",0.30%,0.30%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,CDs,offline,36 MONTHS,36,"$10,000.00 - $24,999.99",0.35%,0.35%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,CDs,offline,36 MONTHS,36,"$25,000.00 - $99,999.99",0.40%,0.40%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,CDs,offline,36 MONTHS,36,"$100,000.00 - $499,999.99",0.45%,0.45%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,CDs,offline,36 MONTHS,36,"$500,000.00 and above",0.50%,0.50%,,,,
03-08-2018,PNC FINANCIAL SERVICES GROUP INC,Deposits,CDs,offline,Ready Access Certificate of Deposit,12,"$1,000.00 and above",0.15%,0.15%,,,,
