Date,Bank_Name,Bank_Product,Bank_Product_Type,Bank_Offer_Feature,Bank_Product_Name,Product_Term,Balance,Product_Interest,Product_Apy,Mortgage_Down_Payment,Mortgage_Loan,Min_Credit_Score_Mortagage,Mortgage_Apr
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,30 Yr Fixed,30,,4.63%,,20%,100000,720+,4.83%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,20 Yr Fixed,20,,4.38%,,20%,100000,720+,4.65%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,15 Yr Fixed,15,,4.00%,,20%,100000,720+,4.32%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,10 Yr Fixed,10,,3.75%,,20%,100000,720+,4.29%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,3-1 ARM,30,,3.88%,,20%,100000,720+,4.62%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,5-1 ARM,30,,3.88%,,20%,100000,720+,4.55%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,7-1 ARM,30,,4.13%,,20%,100000,720+,4.55%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,10-1 ARM,30,,4.25%,,20%,100000,720+,4.58%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,FHA 30 YR FIXED,30,,4.38%,,20%,500000,720+,5.21%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,FHA 5-1 ARM,30,,3.75%,,20%,500000,720+,5.12%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,VA 30 Yr Fixed,30,,4.63%,,20%,100000,720+,4.97%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,VA 15 Yr Fixed,15,,4.13%,,20%,100000,720+,4.76%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,30 Yr Fixed,30,,4.38%,,20%,300000,720+,4.51%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,20 Yr Fixed,20,,4.13%,,20%,300000,720+,4.32%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,15 Yr Fixed,15,,3.75%,,20%,300000,720+,3.95%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,10 Yr Fixed,10,,3.63%,,20%,300000,720+,3.97%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,3-1 ARM,30,,3.75%,,20%,300000,720+,4.51%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,5-1 ARM,30,,3.75%,,20%,300000,720+,4.44%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,7-1 ARM,30,,4.00%,,20%,300000,720+,4.44%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,10-1 ARM,30,,4.13%,,20%,300000,720+,4.44%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,FHA 30 Yr Fixed,30,,4.38%,,20%,300000,720+,5.20%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,FHA 15 Yr Fixed,15,,3.88%,,20%,300000,720+,4.93%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,VA 30 Yr Fixed,30,,4.38%,,20%,300000,720+,4.68%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,VA 15 Yr Fixed,15,,4.00%,,20%,300000,720+,4.49%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,30 YR FIXEDLoan Details,30,,4.13%,,20%,500000,720+,4.25%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,15 YR FIXEDLoan Details,15,,3.88%,,20%,500000,720+,4.04%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,5-1 YR ARMLoan Details,30,,3.13%,,20%,500000,720+,4.42%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,7-1 YR ARMLoan Details,30,,3.38%,,20%,500000,720+,4.35%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,10-1 YR ARMLoan Details,30,,3.75%,,20%,500000,720+,4.34%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,FHA 30 YR FIXED,30,,4.38%,,20%,500000,720+,5.21%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,FHA 5-1 ARM,30,,3.75%,,20%,500000,720+,5.12%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,VA 30 YR FIXED,30,,4.50%,,20%,500000,720+,4.78%
3/9/2018,PNC FINANCIAL SERVICES GROUP INC,Mortgages,Mortgages,Offline,VA 5-1 ARM,30,,4.00%,,20%,500000,720+,4.55%
