Date,Bank_Name,Bank_Product,Bank_Product_Type,Bank_Offer_Feature,Bank_Product_Name,Product_Term,Balance,Product_Interest,Product_Apy,Mortgage_Down_Payment,Mortgage_Loan,Min_Credit_Score_Mortagage,Mortgage_Apr
3/9/2018,Synchrony,Deposits,Deposits,Online,CD_3-month,3,"$2,000+",,0.75%,,,,
3/9/2018,Synchrony,Deposits,Deposits,Online,CD_6-month,6,"$2,000+",,1.00%,,,,
3/9/2018,Synchrony,Deposits,Deposits,Online,CD_9-month,9,"$2,000+",,1.25%,,,,
3/9/2018,Synchrony,Deposits,Deposits,Online,CD_12-month,12,"$2,000+",,1.95%,,,,
3/9/2018,Synchrony,Deposits,Deposits,Online,CD_18-month,18,"$2,000+",,1.95%,,,,
3/9/2018,Synchrony,Deposits,Deposits,Online,CD_24-month,24,"$2,000+",,2.10%,,,,
3/9/2018,Synchrony,Deposits,Deposits,Online,CD_36-month,36,"$2,000+",,2.05%,,,,
3/9/2018,Synchrony,Deposits,Deposits,Online,CD_48-month,48,"$2,000+",,2.20%,,,,
3/9/2018,Synchrony,Deposits,Deposits,Online,CD_60-month,60,"$2,000+",,2.50%,,,,
3/9/2018,Synchrony,Deposits,Deposits,Online,Money Market Rates and Terms,,"Up to $4,999",,1.05%,,,,
3/9/2018,Synchrony,Deposits,Deposits,Online,Money Market Rates and Terms,,"$5,000 - $24,999",,1.05%,,,,
3/9/2018,Synchrony,Deposits,Deposits,Online,Money Market Rates and Terms,,"$25,000+",,1.05%,,,,
3/9/2018,Synchrony,Deposits,Deposits,Online,HYS Rates and Terms,,"Up to $4,999",,1.55%,,,,
3/9/2018,Synchrony,Deposits,Deposits,Online,HYS Rates and Terms,,"$5,000 - $24,999",,1.55%,,,,
3/9/2018,Synchrony,Deposits,Deposits,Online,HYS Rates and Terms,,"$25,000+",,1.55%,,,,
