Date,Bank_Name,Bank_Product,Bank_Product_Type,Bank_Offer_Feature,Bank_Product_Name,Product_Term,Balance,Product_Interest,Product_Apy,Mortgage_Down_Payment,Mortgage_Loan,Min_Credit_Score_Mortagage,Mortgage_Apr
3/9/2018,Wellsfargo,Mortgages,Mortgages,Offline,30-Year Fixed Rate,30,,4.63%,,25.00%,"$200,000 ",740,4.68%
3/9/2018,Wellsfargo,Mortgages,Mortgages,Offline,30-Year Fixed-Rate VA,30,,4.63%,,0.00%,"$200,000 ",740,4.94%
3/9/2018,Wellsfargo,Mortgages,Mortgages,Offline,15-Year Fixed Rate,15,,4.13%,,25.00%,"$200,000 ",740,4.26%
3/9/2018,Wellsfargo,Mortgages,Mortgages,Offline,7/1 ARM,30,,4.25%,,25.00%,"$200,000 ",740,4.58%
3/9/2018,Wellsfargo,Mortgages,Mortgages,Offline,5/1 ARM,30,,4.13%,,25.00%,"$200,000 ",740,4.59%
3/9/2018,Wellsfargo,Mortgages,Mortgages,Offline,30-Year Fixed-Rate Jumbo,30,,4.63%,,25.00%,"$750,000 ",740,4.63%
3/9/2018,Wellsfargo,Mortgages,Mortgages,Offline,15-Year Fixed-Rate Jumbo,15,,4.38%,,25.00%,"$750,000 ",740,4.39%
3/9/2018,Wellsfargo,Mortgages,Mortgages,Offline,20-Year Fixed Rate,20,,4.38%,,25.00%,"$200,000 ",740,4.49%
3/9/2018,Wellsfargo,Mortgages,Mortgages,Offline,7/1 ARM Jumbo,30,,4.13%,,25.00%,"$750,000 ",740,4.46%
3/9/2018,Wellsfargo,Mortgages,Mortgages,Offline,10/1 ARM Jumbo,30,,4.25%,,25.00%,"$750,000 ",740,4.46%
3/9/2018,Wellsfargo,Mortgages,Mortgages,Offline,30-Year Fixed Rate,30,,4.75%,,25.00%,"$200,000 ",740,4.78%
3/9/2018,Wellsfargo,Mortgages,Mortgages,Offline,20-Year Fixed Rate,20,,4.50%,,25.00%,"$200,000 ",740,4.55%
3/9/2018,Wellsfargo,Mortgages,Mortgages,Offline,15-Year Fixed Rate,15,,4.25%,,25.00%,"$200,000 ",740,4.32%
3/9/2018,Wellsfargo,Mortgages,Mortgages,Offline,5/1 ARM,30,,4.25%,,25.00%,"$200,000 ",740,4.60%
3/9/2018,Wellsfargo,Mortgages,Mortgages,Offline,30-Year Fixed-Rate Jumbo,30,,4.63%,,25.00%,"$750,000 ",740,4.64%
3/9/2018,Wellsfargo,Mortgages,Mortgages,Offline,15-Year Fixed-Rate Jumbo,15,,4.50%,,25.00%,"$750,000 ",740,4.51%
3/9/2018,Wellsfargo,Mortgages,Mortgages,Offline,7/1 ARM Jumbo,30,,4.25%,,25.00%,"$750,000 ",740,4.51%
3/9/2018,Wellsfargo,Mortgages,Mortgages,Offline,10/1 ARM Jumbo,30,,4.38%,,25.00%,"$750,000 ",740,4.52%
3/9/2018,Wellsfargo,Mortgages,Mortgages,Offline,30-Year Fixed-Rate VA,30,,4.63%,,0.00%,"$200,000 ",740,4.92%
3/9/2018,Wellsfargo,Mortgages,Mortgages,Offline,7/1 ARM,30,,4.38%,,25.00%,"$200,000 ",740,4.60%
