Date,Bank_Name,Bank_Product,Bank_Product_Type,Bank_Offer_Feature,Bank_Product_Name,Product_Term,Balance,Product_Interest,Product_Apy,Mortgage_Down_Payment,Mortgage_Loan,Min_Credit_Score_Mortagage,Mortgage_Apr
3/9/2018,WELLS FARGO,Deposits,Savings,Offline,Wells Fargo Way2Save,,$0 or more,0.01%,0.01%,,,,
3/9/2018,WELLS FARGO,Deposits,Savings,Offline,Platinum Savings - Special Interest,,"$0  - $24,999.99",0.03%,0.03%,,,,
3/9/2018,WELLS FARGO,Deposits,Savings,Offline,Platinum Savings - Special Interest,,"$25,000  - $99,999.99",1.25%,0.34%,,,,
3/9/2018,WELLS FARGO,Deposits,Savings,Offline,Platinum Savings - Special Interest,,"$100,000  or more",1.25%,0.35%,,,,
3/9/2018,WELLS FARGO,Deposits,Savings,Offline,Platinum Savings - Standard Interest,,"$0  - $99,999.99",0.03%,0.03%,,,,
3/9/2018,WELLS FARGO,Deposits,Savings,Offline,Platinum Savings - Standard Interest,,"$100,000  or more",0.05%,0.05%,,,,
3/9/2018,WELLS FARGO,Deposits,Savings,Offline,Special CD,9,,0.35%,0.35%,,,,
3/9/2018,WELLS FARGO,Deposits,Savings,Offline,Special CD,19,,1.59%,1.60%,,,,
3/9/2018,WELLS FARGO,Deposits,Savings,Offline,Special CD,39,,1.14%,1.15%,,,,
3/9/2018,WELLS FARGO,Deposits,Savings,Offline,Special CD,58,,1.19%,1.20%,,,,
3/9/2018,WELLS FARGO,Deposits,Savings,Offline,CD,3,"$0 - $4,999.99",0.01%,0.01%,,,,
3/9/2018,WELLS FARGO,Deposits,Savings,Offline,CD,3,"$5,000 - $9,999.99",0.01%,0.01%,,,,
3/9/2018,WELLS FARGO,Deposits,Savings,Offline,CD,3,"$10,000 - $24,999.99",0.01%,0.01%,,,,
3/9/2018,WELLS FARGO,Deposits,Savings,Offline,CD,3,"$25,000 - $49,999.99",0.01%,0.01%,,,,
3/9/2018,WELLS FARGO,Deposits,Savings,Offline,CD,3,"$50,000 - $99,999.99",0.01%,0.01%,,,,
3/9/2018,WELLS FARGO,Deposits,Savings,Offline,CD,3,"$100,000 +",0.01%,0.01%,,,,
3/9/2018,WELLS FARGO,Deposits,Savings,Offline,CD,6,"$0 - $4,999.99",0.01%,0.01%,,,,
3/9/2018,WELLS FARGO,Deposits,Savings,Offline,CD,6,"$5,000 - $9,999.99",0.01%,0.01%,,,,
3/9/2018,WELLS FARGO,Deposits,Savings,Offline,CD,6,"$10,000 - $24,999.99",0.01%,0.01%,,,,
3/9/2018,WELLS FARGO,Deposits,Savings,Offline,CD,6,"$25,000 - $49,999.99",0.01%,0.01%,,,,
3/9/2018,WELLS FARGO,Deposits,Savings,Offline,CD,6,"$50,000 - $99,999.99",0.01%,0.01%,,,,
3/9/2018,WELLS FARGO,Deposits,Savings,Offline,CD,6,"$100,000 +",0.01%,0.01%,,,,
3/9/2018,WELLS FARGO,Deposits,Savings,Offline,CD,12,"$0 - $4,999.99",0.05%,0.05%,,,,
3/9/2018,WELLS FARGO,Deposits,Savings,Offline,CD,12,"$5,000 - $9,999.99",0.05%,0.05%,,,,
3/9/2018,WELLS FARGO,Deposits,Savings,Offline,CD,12,"$10,000 - $24,999.99",0.05%,0.05%,,,,
3/9/2018,WELLS FARGO,Deposits,Savings,Offline,CD,12,"$25,000 - $49,999.99",0.05%,0.05%,,,,
3/9/2018,WELLS FARGO,Deposits,Savings,Offline,CD,12,"$50,000 - $99,999.99",0.05%,0.05%,,,,
3/9/2018,WELLS FARGO,Deposits,Savings,Offline,CD,12,"$100,000 +",0.05%,0.05%,,,,
,,,,,,,,,,,,,
