Date,Bank_Name,Bank_Product,Bank_Product_Type,Bank_Offer_Feature,Bank_Product_Name,Product_Term,Balance,Product_Interest,Product_Apy,Mortgage_Down_Payment,Mortgage_Loan,Min_Credit_Score_Mortagage,Mortgage_Apr
03-07-2018,BANK OF AMERICA CORP,Deposits,Savings,Offline,Rewards Savings,,"Less than $2,500",0.03%,0.03%,,,,
03-07-2018,BANK OF AMERICA CORP,Deposits,Savings,Offline,Rewards Savings,,"$2,500 and over",0.03%,0.03%,,,,
03-07-2018,BANK OF AMERICA CORP,Deposits,Savings,Offline,Rewards Savings Gold,,"Less than $2,500",0.04%,0.04%,,,,
03-07-2018,BANK OF AMERICA CORP,Deposits,Savings,Offline,Rewards Savings Gold,,"$2,500 and over",0.04%,0.04%,,,,
03-07-2018,BANK OF AMERICA CORP,Deposits,Savings,Offline,Rewards Savings Platinum,,"Less than $2,500",0.05%,0.05%,,,,
03-07-2018,BANK OF AMERICA CORP,Deposits,Savings,Offline,Rewards Savings Platinum,,"$2,500 and over",0.05%,0.05%,,,,
03-07-2018,BANK OF AMERICA CORP,Deposits,Savings,Offline,Rewards Savings Platinum Honors,,"Less than $2,500",0.06%,0.06%,,,,
03-07-2018,BANK OF AMERICA CORP,Deposits,Savings,Offline,Rewards Savings Platinum Honors,,"$2,500 and over",0.06%,0.06%,,,,
03-07-2018,BANK OF AMERICA CORP,Deposits,Savings,Offline,Banking Rewards for Wealth Management,,"Less than $2,500",0.06%,0.06%,,,,
03-07-2018,BANK OF AMERICA CORP,Deposits,Savings,Offline,Banking Rewards for Wealth Management,,"$2,500 and over",0.06%,0.06%,,,,
03-07-2018,BANK OF AMERICA CORP,Deposits,Checking,Offline,Bank of America Interest Checking,,"Less than $50,000",0.01%,0.01%,,,,
03-07-2018,BANK OF AMERICA CORP,Deposits,Checking,Offline,Bank of America Interest Checking,,"$50,000 - $99,999",0.02%,0.02%,,,,
03-07-2018,BANK OF AMERICA CORP,Deposits,Checking,Offline,Bank of America Interest Checking,,"$100,000 and over",0.02%,0.02%,,,,
