Date,Bank_Name,Bank_Product,Bank_Product_Type,Bank_Offer_Feature,Bank_Product_Name,Product_Term,Balance,Product_Interest,Product_Apy,Mortgage_Down_Payment,Mortgage_Loan,Min_Credit_Score_Mortagage,Mortgage_Apr
03-08-2018,JP MORGAN CHASE & Co.,Deposits,Checking,Offline,Chase Premier Platinum Checking SM,,"$0-$24,999",0.01%,0.01%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,Checking,Offline,Chase Premier Platinum Checking SM,,"$25,000-$49,999",0.01%,0.01%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,Checking,Offline,Chase Premier Platinum Checking SM,,"$50,000+",0.01%,0.01%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,Checking,Offline,Chase Premier Plus Checking SM,,"$0-$4,999",0.01%,0.01%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,Checking,Offline,Chase Premier Plus Checking SM,,"$5,000-$9,999",0.01%,0.01%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,Checking,Offline,Chase Premier Plus Checking SM,,"$10,000-$24,999",0.01%,0.01%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,Checking,Offline,Chase Premier Plus Checking SM,,"$25,000+",0.01%,0.01%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,Savings,Offline,Chase Savings SM,,All Your Balances,0.01%,0.01%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,Savings,Offline,Chase Premier Savings,,"$0-$9,999",0.01%,0.01%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,Savings,Offline,Chase Premier Savings,,"$10,000-$24,999",0.01%,0.01%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,Savings,Offline,Chase Premier Savings,,"$25,000-$49,999",0.01%,0.01%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,Savings,Offline,Chase Premier Savings,,"$50,000-$99,999",0.01%,0.01%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,Savings,Offline,Chase Premier Savings,,"$100,000-$249,999",0.01%,0.01%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,Savings,Offline,Chase Premier Savings,,"$250,000-$499,999",0.01%,0.01%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,Savings,Offline,Chase Premier Savings,,"$500,000-$999,999",0.01%,0.01%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,Savings,Offline,Chase Premier Savings,,"$1,000,000-$4,999,999",0.01%,0.01%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,Savings,Offline,Chase Premier Savings,,"$5,000,000-$9,999,999",0.01%,0.01%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,Savings,Offline,Chase Premier Savings,,"$10,000,000+ 1",0.01%,0.01%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,CDs,Offline,CERTIFICATES OF DEPOSIT (CD) ,18-20 (Months),,0.05%,0.05%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,CDs,Offline,CERTIFICATES OF DEPOSIT (CD) ,36-41 (Months),,0.05%,0.05%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,CDs,Offline,CERTIFICATES OF DEPOSIT (CD) ,120 (Months),,0.7000000000000001%,0.7000000000000001%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,CDs,Offline,CERTIFICATES OF DEPOSIT (CD) ,1 (31 days),,0.01%,0.01%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,CDs,Offline,CERTIFICATES OF DEPOSIT (CD) ,2 (Months),,0.01%,0.01%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,CDs,Offline,CERTIFICATES OF DEPOSIT (CD) ,03-05 (Months),,0.01%,0.01%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,CDs,Offline,CERTIFICATES OF DEPOSIT (CD) ,06-08 (Months),,0.01%,0.01%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,CDs,Offline,CERTIFICATES OF DEPOSIT (CD) ,09-11 (Months),,0.01%,0.01%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,CDs,Offline,CERTIFICATES OF DEPOSIT (CD) ,12-14 (Months),,0.01%,0.01%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,CDs,Offline,CERTIFICATES OF DEPOSIT (CD) ,15-17 (Months),,0.01%,0.01%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,CDs,Offline,CERTIFICATES OF DEPOSIT (CD) ,21-23 (Months),,0.05%,0.05%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,CDs,Offline,CERTIFICATES OF DEPOSIT (CD) ,24-29 (Months),,0.05%,0.05%,,,,
03-08-2018,JP MORGAN CHASE & Co.,Deposits,CDs,Offline,CERTIFICATES OF DEPOSIT (CD) ,30-35 (Months),,0.05%,0.05%,,,,
