Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY
3/9/2018,US,New York,ALLY,USD,Bank,Deposits,Savings,_MSBV,Online Savings,,Online,,Variable,,1.45%
3/9/2018,US,New York,ALLY,USD,Bank,Deposits,Savings,_MSBV,Money Market,"Less than $5,000 opening deposit",Online,,Variable,,0.90%
3/9/2018,US,New York,ALLY,USD,Bank,Deposits,Savings,_MSBV,Money Market,"$5,000 minimum opening deposit",Online,,Variable,,0.90%
3/9/2018,US,New York,ALLY,USD,Bank,Deposits,Savings,_MSBV,Money Market,"$25,000 minimum opening deposit",Online,,Variable,,1.00%
3/9/2018,US,New York,ALLY,USD,Bank,Deposits,CD,6MCDF,High Yield CDs_6 month,"Less than $5,000",Online,6,Fixed,,1.50%
3/9/2018,US,New York,ALLY,USD,Bank,Deposits,CD,12MCDF,High Yield CDs_12 month,"Less than $5,000",Online,12,Fixed,,1.75%
3/9/2018,US,New York,ALLY,USD,Bank,Deposits,CD,36MCDF,High Yield CDs_3 year,"Less than $5,000",Online,36,Fixed,,1.85%
3/9/2018,US,New York,ALLY,USD,Bank,Deposits,CD,6MCDF,High Yield CDs_6 month,"$5,000-$24,999.99",Online,6,Fixed,,1.60%
3/9/2018,US,New York,ALLY,USD,Bank,Deposits,CD,12MCDF,High Yield CDs_12 month,"$5,000-$24,999.99",Online,12,Fixed,,1.85%
3/9/2018,US,New York,ALLY,USD,Bank,Deposits,CD,36MCDF,High Yield CDs_3 year,"$5,000-$24,999.99",Online,36,Fixed,,2.00%
3/9/2018,US,New York,ALLY,USD,Bank,Deposits,CD,6MCDF,High Yield CDs_6 month,"$25,000 or more",Online,6,Fixed,,1.75%
3/9/2018,US,New York,ALLY,USD,Bank,Deposits,CD,12MCDF,High Yield CDs_12 month,"$25,000 or more",Online,12,Fixed,,2.00%
3/9/2018,US,New York,ALLY,USD,Bank,Deposits,CD,36MCDF,High Yield CDs_3 year,"$25,000 or more",Online,36,Fixed,,2.10%
3/9/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,Savings,_MSBV,Rewards Savings,"Less than $2,500",Offline,,Variable,0.03%,0.03%
3/9/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,Savings,_MSBV,Rewards Savings,"$2,500 and over",Offline,,Variable,0.03%,0.03%
3/9/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,Savings,_MSBV,Rewards Savings Gold,"Less than $2,500",Offline,,Variable,0.04%,0.04%
3/9/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,Savings,_MSBV,Rewards Savings Gold,"$2,500 and over",Offline,,Variable,0.04%,0.04%
3/9/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,Savings,_MSBV,Rewards Savings Platinum,"Less than $2,500",Offline,,Variable,0.05%,0.05%
3/9/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,Savings,_MSBV,Rewards Savings Platinum,"$2,500 and over",Offline,,Variable,0.05%,0.05%
3/9/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,Savings,_MSBV,Rewards Savings Platinum Honors,"Less than $2,500",Offline,,Variable,0.06%,0.06%
3/9/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,Savings,_MSBV,Rewards Savings Platinum Honors,"$2,500 and over",Offline,,Variable,0.06%,0.06%
3/9/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,Savings,_MSBV,Banking Rewards for Wealth Management,"Less than $2,500",Offline,,Variable,0.06%,0.06%
3/9/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,Savings,_MSBV,Banking Rewards for Wealth Management,"$2,500 and over",Offline,,Variable,0.06%,0.06%
3/9/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,Checking,_MCCV,Bank of America Interest Checking,"Less than $50,000",Offline,,Variable,0.01%,0.01%
3/9/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,Checking,_MCCV,Bank of America Interest Checking,"$50,000 - $99,999",Offline,,Variable,0.02%,0.02%
3/9/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,Checking,_MCCV,Bank of America Interest Checking,"$100,000 and over",Offline,,Variable,0.02%,0.02%
3/9/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,IRA CD,6M_CD,Fixed Term CD/IRA Products,"Less than $10,000",Offline,6,Fixed,0.03%,0.03%
3/9/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,IRA CD,12M_CD,Fixed Term CD/IRA Products,"Less than $10,000",Offline,12,Fixed,0.05%,0.05%
3/9/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,IRA CD,36M_CD,Fixed Term CD/IRA Products,"Less than $10,000",Offline,36,Fixed,0.55%,0.55%
3/9/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,IRA CD,6M_CD,Fixed Term CD/IRA Products,"$10,000 - $99,999",Offline,6,Fixed,0.03%,0.03%
3/9/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,IRA CD,12M_CD,Fixed Term CD/IRA Products,"$10,000 - $99,999",Offline,12,Fixed,0.05%,0.05%
3/9/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,IRA CD,36M_CD,Fixed Term CD/IRA Products,"$10,000 - $99,999",Offline,36,Fixed,0.55%,0.55%
3/9/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,IRA CD,6M_CD,Fixed Term CD/IRA Products,"$100,000 and over",Offline,6,Fixed,0.03%,0.03%
3/9/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,IRA CD,12M_CD,Fixed Term CD/IRA Products,"$100,000 and over",Offline,12,Fixed,0.05%,0.05%
3/9/2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Deposits,IRA CD,36M_CD,Fixed Term CD/IRA Products,"$100,000 and over",Offline,36,Fixed,0.55%,0.55%
3/9/2018,US,New York,CAPITAL ONE,USD,Bank,Deposits,Savings,_MSBV,360 Money Market,"less than $10,000.00",Online,,Variable,0.85%,0.85%
3/9/2018,US,New York,CAPITAL ONE,USD,Bank,Deposits,Savings,_MSBV,360 Money Market,"more than $10,000.00",Online,,Variable,1.49%,1.50%
3/9/2018,US,New York,CAPITAL ONE,USD,Bank,Deposits,Savings,_MSBV,360 Savings,0,Online,,Variable,1.00%,1.00%
3/9/2018,US,New York,CAPITAL ONE,USD,Bank,Deposits,Savings,_MSBV,360 IRA Savings Traditional,0,Online,,Variable,1.00%,1.00%
3/9/2018,US,New York,CAPITAL ONE,USD,Bank,Deposits,CD,6MCDF,360 CDs 12 months,0 - 1000000,Online,6,Fixed,0.40%,0.40%
3/9/2018,US,New York,CAPITAL ONE,USD,Bank,Deposits,CD,12MCDF,360 CDs 12 months,,Online,12,Fixed,1.98%,2.00%
3/9/2018,US,New York,CAPITAL ONE,USD,Bank,Deposits,CD,36MCDF,360 CDs 12 months,,Online,36,Fixed,2.28%,2.30%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Checking,_MCCV,Interest Checking Account,"Below $25,000",Offline,,Variable,0.01%,0.01%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Checking,_MCCV,Interest Checking Account,"$25,000-$49,999.99",Offline,,Variable,0.01%,0.01%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Checking,_MCCV,Interest Checking Account,"$50,000+",Offline,,Variable,0.01%,0.01%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,Savings,_MSBV,Citibank Account Package1,"Below $10,000",Offline,,Variable,0.04%,0.04%
