,Consumer Deposit Rates,Interest,APY,Product,Terms(months),Bank Name
10,"$0–$24,999",0.0001,0.0001,Chase Premier Platinum Checking SM,,JP MORGAN
11,"$25,000–$49,999",0.0001,0.0001,Chase Premier Platinum Checking SM,,JP MORGAN
12,"50,000+",0.0001,0.0001,Chase Premier Platinum Checking SM,,JP MORGAN
10,"$0–$4,999",0.0001,0.0001,Chase Premier Plus Checking SM,,JP MORGAN
11,"$5,000–$9,999",0.0001,0.0001,Chase Premier Plus Checking SM,,JP MORGAN
12,"$10,000–$24,999",0.0001,0.0001,Chase Premier Plus Checking SM,,JP MORGAN
13,"25,000+",0.0001,0.0001,Chase Premier Plus Checking SM,,JP MORGAN
16,All Your Balances,0.0001,0.0001,Chase Savings SM,,JP MORGAN
20,"$0–$9,999",0.0001,0.0001,Chase Premier Savings,,JP MORGAN
21,"$10,000–$24,999",0.0001,0.0001,Chase Premier Savings,,JP MORGAN
22,"$25,000–$49,999",0.0001,0.0001,Chase Premier Savings,,JP MORGAN
23,"$50,000–$99,999",0.0001,0.0001,Chase Premier Savings,,JP MORGAN
24,"$100,000–$249,999",0.0001,0.0001,Chase Premier Savings,,JP MORGAN
25,"$250,000–$499,999",0.0001,0.0001,Chase Premier Savings,,JP MORGAN
26,"$500,000–$999,999",0.0001,0.0001,Chase Premier Savings,,JP MORGAN
27,"$1,000,000–$4,999,999",0.0001,0.0001,Chase Premier Savings,,JP MORGAN
28,"$5,000,000–$9,999,999",0.0001,0.0001,Chase Premier Savings,,JP MORGAN
29,"$10,000,000+ 1",0.0001,0.0001,Chase Premier Savings,,JP MORGAN
39,,0.05%,0.05%,CERTIFICATES OF DEPOSIT (CD) ,21-23,JP MORGAN
40,,0.05%,0.05%,CERTIFICATES OF DEPOSIT (CD) ,36-41,JP MORGAN
41,,0.70%,0.70%,CERTIFICATES OF DEPOSIT (CD) ,120,JP MORGAN
45,,0.01%,0.01%,CERTIFICATES OF DEPOSIT (CD) ,1 (31 days),JP MORGAN
46,,0.01%,0.01%,CERTIFICATES OF DEPOSIT (CD) ,2,JP MORGAN
47,,0.01%,0.01%,CERTIFICATES OF DEPOSIT (CD) ,05-03-2018 00:00,JP MORGAN
48,,0.01%,0.01%,CERTIFICATES OF DEPOSIT (CD) ,08-06-2018 00:00,JP MORGAN
49,,0.01%,0.01%,CERTIFICATES OF DEPOSIT (CD) ,11-09-2018 00:00,JP MORGAN
50,,0.01%,0.01%,CERTIFICATES OF DEPOSIT (CD) ,14-12-2018 00:00,JP MORGAN
51,,0.01%,0.01%,CERTIFICATES OF DEPOSIT (CD) ,15-17,JP MORGAN
52,,0.05%,0.05%,CERTIFICATES OF DEPOSIT (CD) ,18-20,JP MORGAN
53,,0.05%,0.05%,CERTIFICATES OF DEPOSIT (CD) ,24-29,JP MORGAN
54,,0.05%,0.05%,CERTIFICATES OF DEPOSIT (CD) ,30-35,JP MORGAN
55,,0.10%,0.10%,CERTIFICATES OF DEPOSIT (CD) ,42-47,JP MORGAN
56,,0.10%,0.10%,CERTIFICATES OF DEPOSIT (CD) ,48-59,JP MORGAN
57,,0.25%,0.25%,CERTIFICATES OF DEPOSIT (CD) ,60-83,JP MORGAN
58,,0.25%,0.25%,CERTIFICATES OF DEPOSIT (CD) ,84-119,JP MORGAN
