Date,Bank Name,Product Name,Interest Rate,APY Rate
03/06/2018,PNC,30 Yr Fixed,4.500%,4.722%
03/06/2018,PNC,20 Yr Fixed,4.250%,4.535%
03/06/2018,PNC,15 Yr Fixed,3.875%,4.234%
03/06/2018,PNC,10 Yr Fixed,3.750%,4.266%
03/06/2018,PNC,30 Yr Fixed,4.375%,4.473%
03/06/2018,PNC,20 Yr Fixed,4.125%,4.272%
03/06/2018,PNC,15 Yr Fixed,3.750%,3.916%
03/06/2018,PNC,10 Yr Fixed,3.625%,3.917%
03/06/2018,PNC,30 YR FIXEDLoan Details,4.125%,4.207%
03/06/2018,PNC,15 YR FIXEDLoan Details,3.750%,3.966%
03/06/2018,PNC,, , 
03/06/2018,PNC,, , 
