Date,Bank Name,Product Name,Loan Amount,Zipcode,Term,Interest Rate,APY Rate
3/9/2018,PNC,30 Yr Fixed,100000,10004,30,4.63%,4.83%
3/9/2018,PNC,20 Yr Fixed,100000,10004,20,4.38%,4.65%
3/9/2018,PNC,15 Yr Fixed,100000,10004,15,4.00%,4.32%
3/9/2018,PNC,10 Yr Fixed,100000,10004,10,3.75%,4.29%
3/9/2018,PNC,3-1 ARM,100000,10004,30,3.88%,4.62%
3/9/2018,PNC,5-1 ARM,100000,10004,30,3.88%,4.55%
3/9/2018,PNC,7-1 ARM,100000,10004,30,4.13%,4.55%
3/9/2018,PNC,10-1 ARM,100000,10004,30,4.25%,4.58%
3/9/2018,PNC,FHA 30 YR FIXED,500000,10004,30,4.38%,5.21%
3/9/2018,PNC,FHA 5-1 ARM,500000,10004,30,3.75%,5.12%
3/9/2018,PNC,VA 30 Yr Fixed,100000,10004,30,4.63%,4.97%
3/9/2018,PNC,VA 15 Yr Fixed,100000,10004,15,4.13%,4.76%
3/9/2018,PNC,30 Yr Fixed,300000,10004,30,4.38%,4.51%
3/9/2018,PNC,20 Yr Fixed,300000,10004,20,4.13%,4.32%
3/9/2018,PNC,15 Yr Fixed,300000,10004,15,3.75%,3.95%
3/9/2018,PNC,10 Yr Fixed,300000,10004,10,3.63%,3.97%
3/9/2018,PNC,3-1 ARM,300000,10004,30,3.75%,4.51%
3/9/2018,PNC,5-1 ARM,300000,10004,30,3.75%,4.44%
3/9/2018,PNC,7-1 ARM,300000,10004,30,4.00%,4.44%
3/9/2018,PNC,10-1 ARM,300000,10004,30,4.13%,4.44%
3/9/2018,PNC,FHA 30 Yr Fixed,300000,10004,30,4.38%,5.20%
3/9/2018,PNC,FHA 15 Yr Fixed,300000,10004,15,3.88%,4.93%
3/9/2018,PNC,VA 30 Yr Fixed,300000,10004,30,4.38%,4.68%
3/9/2018,PNC,VA 15 Yr Fixed,300000,10004,15,4.00%,4.49%
3/9/2018,PNC,30 YR FIXEDLoan Details,500000,10004,30,4.13%,4.25%
3/9/2018,PNC,15 YR FIXEDLoan Details,500000,10004,15,3.88%,4.04%
3/9/2018,PNC,5-1 YR ARMLoan Details,500000,10004,30,3.13%,4.42%
3/9/2018,PNC,7-1 YR ARMLoan Details,500000,10004,30,3.38%,4.35%
3/9/2018,PNC,10-1 YR ARMLoan Details,500000,10004,30,3.75%,4.34%
3/9/2018,PNC,FHA 30 YR FIXED,500000,10004,30,4.38%,5.21%
3/9/2018,PNC,FHA 5-1 ARM,500000,10004,30,3.75%,5.12%
3/9/2018,PNC,VA 30 YR FIXED,500000,10004,30,4.50%,4.78%
3/9/2018,PNC,VA 5-1 ARM,500000,10004,30,4.00%,4.55%
