Date,Bank_Native_Country,Zip_code,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Name,Balance,Bank_Offer_Feature,Product_Term,Product_Interest,Product_Apy,Mortgage_Loan,Mortgage_Down_Payment,Min_Credit_Score_Mortagage,Mortgage_Apr
08-03-2018,USA,New York,ALLY,USD,BANK,Deposits,Savings,Online Savings,,Online,,,1.45%,,,,
08-03-2018,USA,New York,ALLY,USD,BANK,Deposits,Savings,Money Market,"Less than $5,000 opening deposit",Online,,,0.90%,,,,
08-03-2018,USA,New York,ALLY,USD,BANK,Deposits,Savings,Money Market,"$5,000 minimum opening deposit",Online,,,0.90%,,,,
08-03-2018,USA,New York,ALLY,USD,BANK,Deposits,Savings,Money Market,"$25,000 minimum opening deposit",Online,,,1.00%,,,,
08-03-2018,USA,New York,ALLY,USD,BANK,Deposits,CDs,High Yield CDs_3 month,"Less than $5,000",Online,3 month,,1.00%,,,,
08-03-2018,USA,New York,ALLY,USD,BANK,Deposits,CDs,High Yield CDs_6 month,"Less than $5,000",Online,6 month,,1.50%,,,,
08-03-2018,USA,New York,ALLY,USD,BANK,Deposits,CDs,High Yield CDs_9 month,"Less than $5,000",Online,9 month,,1.55%,,,,
08-03-2018,USA,New York,ALLY,USD,BANK,Deposits,CDs,High Yield CDs_12 month,"Less than $5,000",Online,12 month,,1.75%,,,,
08-03-2018,USA,New York,ALLY,USD,BANK,Deposits,CDs,High Yield CDs_18 month,"Less than $5,000",Online,18 month,,1.80%,,,,
08-03-2018,USA,New York,ALLY,USD,BANK,Deposits,CDs,High Yield CDs_3 year,"Less than $5,000",Online,3 year,,1.85%,,,,
08-03-2018,USA,New York,ALLY,USD,BANK,Deposits,CDs,High Yield CDs_5 year,"Less than $5,000",Online,5 year,,2.25%,,,,
08-03-2018,USA,New York,ALLY,USD,BANK,Deposits,CDs,High Yield CDs_3 month,"$5,000-$24,999.99",Online,3 month,,1.25%,,,,
08-03-2018,USA,New York,ALLY,USD,BANK,Deposits,CDs,High Yield CDs_6 month,"$5,000-$24,999.99",Online,6 month,,1.60%,,,,
08-03-2018,USA,New York,ALLY,USD,BANK,Deposits,CDs,High Yield CDs_9 month,"$5,000-$24,999.99",Online,9 month,,1.65%,,,,
08-03-2018,USA,New York,ALLY,USD,BANK,Deposits,CDs,High Yield CDs_12 month,"$5,000-$24,999.99",Online,12 month,,1.85%,,,,
08-03-2018,USA,New York,ALLY,USD,BANK,Deposits,CDs,High Yield CDs_18 month,"$5,000-$24,999.99",Online,18 month,,1.95%,,,,
08-03-2018,USA,New York,ALLY,USD,BANK,Deposits,CDs,High Yield CDs_3 year,"$5,000-$24,999.99",Online,3 year,,2.00%,,,,
08-03-2018,USA,New York,ALLY,USD,BANK,Deposits,CDs,High Yield CDs_5 year,"$5,000-$24,999.99",Online,5 year,,2.40%,,,,
08-03-2018,USA,New York,ALLY,USD,BANK,Deposits,CDs,High Yield CDs_3 month,"$25,000 or more",Online,3 month,,1.50%,,,,
08-03-2018,USA,New York,ALLY,USD,BANK,Deposits,CDs,High Yield CDs_6 month,"$25,000 or more",Online,6 month,,1.75%,,,,
08-03-2018,USA,New York,ALLY,USD,BANK,Deposits,CDs,High Yield CDs_9 month,"$25,000 or more",Online,9 month,,1.80%,,,,
08-03-2018,USA,New York,ALLY,USD,BANK,Deposits,CDs,High Yield CDs_12 month,"$25,000 or more",Online,12 month,,2.00%,,,,
08-03-2018,USA,New York,ALLY,USD,BANK,Deposits,CDs,High Yield CDs_18 month,"$25,000 or more",Online,18 month,,2.05%,,,,
08-03-2018,USA,New York,ALLY,USD,BANK,Deposits,CDs,High Yield CDs_3 year,"$25,000 or more",Online,3 year,,2.10%,,,,
08-03-2018,USA,New York,ALLY,USD,BANK,Deposits,CDs,High Yield CDs_5 year,"$25,000 or more",Online,5 year,,2.50%,,,,
08-03-2018,USA,New York,ALLY,USD,BANK,Deposits,CDs,Raise Your Rate CDs_2 year,"Less than $5,000",Online,2 year,,2.00%,,,,
08-03-2018,USA,New York,ALLY,USD,BANK,Deposits,CDs,Raise Your Rate CDs_4 year,"Less than $5,000",Online,4 year,,2.00%,,,,
