Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minimum_Balance,Bank_Offer_Feature,Product_Term (M),Product_Term (Y),Interest_Type,Product_Interest,Product_APY,Mortgage_Loan,Mortgage_Down_Payment,Credit_Score,Mortgage_APR,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode
03/08/2018,US,New York,ALLY,USD,Bank,Deposits,Savings,SB,Online Savings,N/A,Online,N/A,N/A,N/A,N/A,1.45%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
03/08/2018,US,New York,ALLY,USD,Bank,Deposits,Savings,SB,Money Market,"Less than $5,000 opening deposit",Online,N/A,N/A,N/A,N/A,0.90%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
03/08/2018,US,New York,ALLY,USD,Bank,Deposits,Savings,SB,Money Market,"$5,000 minimum opening deposit",Online,N/A,N/A,N/A,N/A,0.90%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
03/08/2018,US,New York,ALLY,USD,Bank,Deposits,Savings,SB,Money Market,"$25,000 minimum opening deposit",Online,N/A,N/A,N/A,N/A,1.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
03/08/2018,US,New York,ALLY,USD,Bank,Deposits,CDs,6M_CD,High Yield CDs_6 month,"Less than $5,000",Online,6,N/A,N/A,N/A,1.50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
03/08/2018,US,New York,ALLY,USD,Bank,Deposits,CDs,12M_CD,High Yield CDs_12 month,"Less than $5,000",Online,12,N/A,N/A,N/A,1.75%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
03/08/2018,US,New York,ALLY,USD,Bank,Deposits,CDs,36M_CD,High Yield CDs_3 year,"Less than $5,000",Online,36,N/A,N/A,N/A,1.85%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
03/08/2018,US,New York,ALLY,USD,Bank,Deposits,CDs,6M_CD,High Yield CDs_6 month,"$5,000-$24,999.99",Online,6,N/A,N/A,N/A,1.60%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
03/08/2018,US,New York,ALLY,USD,Bank,Deposits,CDs,12M_CD,High Yield CDs_12 month,"$5,000-$24,999.99",Online,12,N/A,N/A,N/A,1.85%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
03/08/2018,US,New York,ALLY,USD,Bank,Deposits,CDs,36M_CD,High Yield CDs_3 year,"$5,000-$24,999.99",Online,36,N/A,N/A,N/A,2.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
