Date,Bank Name,Product Name,Minimum Open Balance,Deposite,APY
03/09/2018,Synchrony,CD_3-month,"$2,000 minimum opening deposit","$2,000+",0.75%
03/09/2018,Synchrony,CD_6-month,"$2,000 minimum opening deposit","$2,000+",1.00%
03/09/2018,Synchrony,CD_9-month,"$2,000 minimum opening deposit","$2,000+",1.25%
03/09/2018,Synchrony,CD_12-month,"$2,000 minimum opening deposit","$2,000+",1.95%
03/09/2018,Synchrony,CD_18-month,"$2,000 minimum opening deposit","$2,000+",1.95%
03/09/2018,Synchrony,CD_24-month,"$2,000 minimum opening deposit","$2,000+",2.10%
03/09/2018,Synchrony,CD_36-month,"$2,000 minimum opening deposit","$2,000+",2.05%
03/09/2018,Synchrony,CD_48-month,"$2,000 minimum opening deposit","$2,000+",2.20%
03/09/2018,Synchrony,CD_60-month,"$2,000 minimum opening deposit","$2,000+",2.50%
03/09/2018,Synchrony,Money Market Rates and Terms,No minimum balance or monthly service fee,"Up to $4,999",1.05% 
03/09/2018,Synchrony,Money Market Rates and Terms,No minimum balance or monthly service fee,"$5,000 - $24,999",1.05% 
03/09/2018,Synchrony,Money Market Rates and Terms,No minimum balance or monthly service fee,"$25,000+",1.05% 
03/09/2018,Synchrony,HYS Rates and Terms,No minimum balance or monthly service fee,"Up to $4,999",1.55% 
03/09/2018,Synchrony,HYS Rates and Terms,No minimum balance or monthly service fee,"$5,000 - $24,999",1.55% 
03/09/2018,Synchrony,HYS Rates and Terms,No minimum balance or monthly service fee,"$25,000+",1.55% 
