Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY
 2018-03-20,US,New York,ALLY,ALLY,USD,Bank,Deposits,Savings,_MSBV,Online Savings,,,Online,,Fixed,,1.45%
 2018-03-20,US,New York,ALLY,ALLY,USD,Bank,Deposits,Savings,_MSBV,Money Market,,"5,000",Online,,Fixed,,0.90%
 2018-03-20,US,New York,ALLY,ALLY,USD,Bank,Deposits,Savings,_MSBV,Money Market,"5,000",,Online,,Fixed,,0.90%
 2018-03-20,US,New York,ALLY,ALLY,USD,Bank,Deposits,Savings,_MSBV,Money Market,"25,000",,Online,,Fixed,,1.00%
 2018-03-20,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,6MCDF,High Yield CDs_6 month,,"5,000",Online,6,Fixed,,1.50%
 2018-03-20,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,6MCDF,High Yield CDs_6 month,"5,000","24,999.99",Online,6,Fixed,,1.60%
 2018-03-20,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,6MCDF,High Yield CDs_6 month,"25,000",,Online,6,Fixed,,1.75%
 2018-03-20,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,12MCDF,High Yield CDs_12 month,,"5,000",Online,12,Fixed,,1.75%
 2018-03-20,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,12MCDF,High Yield CDs_12 month,"5,000","24,999.99",Online,12,Fixed,,1.85%
 2018-03-20,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,12MCDF,High Yield CDs_12 month,"25,000",,Online,12,Fixed,,2.00%
 2018-03-20,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,36MCDF,High Yield CDs_3 year,,"5,000",Online,36,Fixed,,1.85%
 2018-03-20,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,36MCDF,High Yield CDs_3 year,"5,000","24,999.99",Online,36,Fixed,,2.00%
 2018-03-20,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,36MCDF,High Yield CDs_3 year,"25,000",,Online,36,Fixed,,2.10%
 2018-03-20,US,New York,ALLY,ALLY,USD,Bank,Deposits,Checking,_MCCV,Interest Checking Account,,"15,000",Online,,Fixed,,0.10%
 2018-03-20,US,New York,ALLY,ALLY,USD,Bank,Deposits,Checking,_MCCV,Interest Checking Account,"15,000",,Online,,Fixed,,0.60%
 2018-03-20,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,Savings,_MSBV,Rewards Savings/Minor Savings,,"2,500",Offline,,Fixed,0.03%,0.03%
 2018-03-20,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,Savings,_MSBV,Rewards Savings/Minor Savings,"2,500",,Offline,,Fixed,0.03%,0.03%
 2018-03-20,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,Checking,_MCCV,Bank of America Interest Checking,,"50,000",Offline,,Fixed,0.01%,0.01%
 2018-03-20,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,Checking,_MCCV,Bank of America Interest Checking,"50,000","99,999",Offline,,Fixed,0.02%,0.02%
 2018-03-20,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,Checking,_MCCV,Bank of America Interest Checking,"1,00,000",,Offline,,Fixed,0.02%,0.02%
 2018-03-20,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,CD,6MCDF,06 - 11 Months,,"10,000",Offline,6,Fixed,0.03%,0.03%
 2018-03-20,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,CD,12MCDF,12 - 17 Months,,"10,000",Offline,12,Fixed,0.05%,0.05%
 2018-03-20,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Deposits,CD,36MCDF,36 - 47 Months,,"10,000",Offline,36,Fixed,0.55%,0.55%
 2018-03-20,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,Savings,_MSBV,360 Money Market,,"10,000.00",Online,,Fixed,0.85%,0.85%
 2018-03-20,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,Savings,_MSBV,360 Money Market,"10,000.00",,Online,,Fixed,1.49%,1.50%
 2018-03-20,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,Savings,_MSBV,360 Savings,0,,Online,,Fixed,1.00%,1.00%
 2018-03-20,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,Savings,_MSBV,360 IRA Savings Traditional,0,,Online,,Fixed,1.00%,1.00%
 2018-03-20,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,CD,6MCDF,360 CDs 6 months,0,1000000,Online,6,Fixed,0.40%,0.40%
 2018-03-20,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,CD,12MCDF,360 CDs 12 months,0,1000000,Online,12,Fixed,2.03%,2.05%
 2018-03-20,US,New York,CAPITAL ONE,COF,USD,Bank,Deposits,CD,36MCDF,360 CDs 36 months,0,1000000,Online,36,Fixed,2.28%,2.30%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Checking,_MCCV,Interest Checking Account,,"25,000",Offline,,Fixed,0.01%,0.01%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Checking,_MCCV,Interest Checking Account,"25,000","49,999.99",Offline,,Fixed,0.01%,0.01%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Checking,_MCCV,Interest Checking Account,"50,000",,Offline,,Fixed,0.01%,0.01%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Citibank Account Package1,,"10,000",Offline,,Fixed,0.04%,0.04%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Citibank Account Package1,"10,000","24,999.99",Offline,,Fixed,0.04%,0.04%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Citibank Account Package1,"25,000","49,999.99",Offline,,Fixed,0.08%,0.08%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Citibank Account Package1,"50,000","99,999.99",Offline,,Fixed,0.08%,0.08%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Citibank Account Package1,"1,00,000","4,99,999.99",Offline,,Fixed,0.10%,0.10%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Citibank Account Package1,"5,00,000","9,99,999.99",Offline,,Fixed,0.13%,0.13%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Citibank Account Package1,"10,00,000",,Offline,,Fixed,0.13%,0.13%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Basic Banking Package,,"10,000",Offline,,Fixed,0.04%,0.04%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Basic Banking Package,"10,000","24,999.99",Offline,,Fixed,0.04%,0.04%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Basic Banking Package,"25,000","49,999.99",Offline,,Fixed,0.06%,0.06%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Basic Banking Package,"50,000","99,999.99",Offline,,Fixed,0.06%,0.06%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Basic Banking Package,"1,00,000","4,99,999.99",Offline,,Fixed,0.06%,0.06%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Basic Banking Package,"5,00,000","9,99,999.99",Offline,,Fixed,0.06%,0.06%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Basic Banking Package,"10,00,000",,Offline,,Fixed,0.06%,0.06%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Access Account Package,,"10,000",Offline,,Fixed,0.04%,0.04%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Access Account Package,"10,000","24,999.99",Offline,,Fixed,0.04%,0.04%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Access Account Package,"25,000","49,999.99",Offline,,Fixed,0.06%,0.06%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Access Account Package,"50,000","99,999.99",Offline,,Fixed,0.06%,0.06%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Access Account Package,"1,00,000","4,99,999.99",Offline,,Fixed,0.06%,0.06%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Access Account Package,"5,00,000","9,99,999.99",Offline,,Fixed,0.06%,0.06%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,Savings,_MSBV,Access Account Package,"10,00,000",,Offline,,Fixed,0.06%,0.06%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,6MCDF,6 months,,"10,000",Offline,6,Fixed,0.07%,0.07%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,6MCDF,6 months,"10,000","24,999.99",Offline,6,Fixed,0.07%,0.07%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,6MCDF,6 months,"25,000","49,999.99",Offline,6,Fixed,0.07%,0.07%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,6MCDF,6 months,"50,000","99,999.99",Offline,6,Fixed,0.07%,0.07%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,6MCDF,6 months,"1,00,000","4,99,999.99",Offline,6,Fixed,0.07%,0.07%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,6MCDF,6 months,"5,00,000","9,99,999.99",Offline,6,Fixed,0.07%,0.07%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,6MCDF,6 months,"10,00,000",,Offline,6,Fixed,0.07%,0.07%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,12MCDF,1 year,,"10,000",Offline,12,Fixed,0.25%,0.25%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,12MCDF,1 year,"10,000","24,999.99",Offline,12,Fixed,0.25%,0.25%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,12MCDF,1 year,"25,000","49,999.99",Offline,12,Fixed,0.25%,0.25%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,12MCDF,1 year,"50,000","99,999.99",Offline,12,Fixed,0.25%,0.25%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,12MCDF,1 year,"1,00,000","4,99,999.99",Offline,12,Fixed,0.25%,0.25%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,12MCDF,1 year,"5,00,000","9,99,999.99",Offline,12,Fixed,0.25%,0.25%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,12MCDF,1 year,"10,00,000",,Offline,12,Fixed,0.25%,0.25%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,36MCDF,3 years,,"10,000",Offline,36,Fixed,0.70%,0.70%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,36MCDF,3 years,"10,000","24,999.99",Offline,36,Fixed,0.70%,0.70%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,36MCDF,3 years,"25,000","49,999.99",Offline,36,Fixed,0.70%,0.70%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,36MCDF,3 years,"50,000","99,999.99",Offline,36,Fixed,0.70%,0.70%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,36MCDF,3 years,"1,00,000","4,99,999.99",Offline,36,Fixed,0.70%,0.70%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,36MCDF,3 years,"5,00,000","9,99,999.99",Offline,36,Fixed,0.70%,0.70%
 2018-03-20,US,New York,CITIGROUP INC,C,USD,Bank,Deposits,CD,36MCDF,3 years,"10,00,000",,Offline,36,Fixed,0.70%,0.70%
 2018-03-20,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,Checking,_MCCV,Chase Premier Plus Checking SM,0,"4,999",Offline,,Fixed,0.01%,0.01%
 2018-03-20,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,Checking,_MCCV,Chase Premier Plus Checking SM,"5,000","9,999",Offline,,Fixed,0.01%,0.01%
 2018-03-20,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,Checking,_MCCV,Chase Premier Plus Checking SM,"10,000","24,999",Offline,,Fixed,0.01%,0.01%
 2018-03-20,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,Checking,_MCCV,Chase Premier Plus Checking SM,"25,000",,Offline,,Fixed,0.01%,0.01%
 2018-03-20,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,Savings,_MSBV,Chase Savings SM,,,Offline,,Fixed,0.01%,0.01%
 2018-03-20,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,CD,6MCDF,CERTIFICATES OF DEPOSIT (CD),"1,000",,Offline,6,Fixed,0.01%,0.01%
 2018-03-20,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Deposits,CD,12MCDF,CERTIFICATES OF DEPOSIT (CD),"1,000",,Offline,12,Fixed,0.01%,0.01%
