Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode
03-09-2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMF,Fixed Rate Mortgage _ 30-yr,,Online,30,Fixed,4.50%,4.53%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,25YMF,Fixed Rate Mortgage _ 25-yr,,Online,25,Fixed,4.63%,4.63%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,20YMF,Fixed Rate Mortgage _ 20-yr,,Online,20,Fixed,4.25%,4.30%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,15YMF,Fixed Rate Mortgage _ 15-yr,,Online,15,Fixed,4.13%,4.13%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,10YMF,Fixed Rate Mortgage _ 10-yr,,Online,10,Fixed,4.00%,4.09%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 10/1,,Online,30,Variable,4.38%,4.55%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 7/1,,Online,30,Variable,4.50%,4.66%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 5/1,,Online,30,Variable,4.38%,4.65%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMF,30-year fixed,,Offline,30,Fixed,4.38%,4.74%," 1,00,000.00 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,20YMF,20-year fixed,,Offline,20,Fixed,4.25%,4.75%," 1,00,000.00 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,15YMF,15-year fixed,,Offline,15,Fixed,4.00%,4.66%," 1,00,000.00 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM,,Offline,30,Variable,4.25%,4.81%," 1,00,000.00 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30,Variable,4.00%,4.75%," 1,00,000.00 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM,,Offline,30,Variable,4.00%,4.83%," 1,00,000.00 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMF,30-year fixed,,Offline,30,Fixed,4.50%,4.70%," 2,00,000.00 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,20YMF,20-year fixed,,Offline,20,Fixed,4.25%,4.52%," 2,00,000.00 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,15YMF,15-year fixed,,Offline,15,Fixed,4.00%,4.35%," 2,00,000.00 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM,,Offline,30,Variable,4.13%,4.55%," 2,00,000.00 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30,Variable,3.88%,4.54%," 2,00,000.00 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM,,Offline,30,Variable,3.75%,4.58%," 2,00,000.00 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMF,30-year fixed,,Offline,30,Fixed,4.38%,4.48%," 5,00,000.00 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,15YMF,15-year fixed,,Offline,15,Fixed,4.13%,4.32%," 5,00,000.00 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30,Variable,4.38%,4.71%," 5,00,000.00 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,BANK OF AMERICA CORP,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM,,Offline,30,Variable,4.50%,4.80%," 5,00,000.00 ",20%,740,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,30Fixed,,Offline,30,Fixed,4.50%,4.88%," 1,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,20YMF,20Fixed,,Offline,20,Fixed,4.25%,4.73%," 1,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,15Fixed,,Offline,30,Fixed,3.88%,4.43%," 1,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,10Fixed,,Offline,30,Fixed,3.75%,4.55%," 1,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,CITIGROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30,Variable,4.38%,4.92%," 1,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
