Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY
03/09/2018,US,New York,ALLY,USD,Bank,Deposits,Savings,_MSBV,Online Savings,,Online,,Variable,,1.45%
03/09/2018,US,New York,ALLY,USD,Bank,Deposits,Savings,_MSBV,Money Market,"Less than $5,000 opening deposit",Online,,Variable,,0.90%
03/09/2018,US,New York,ALLY,USD,Bank,Deposits,Savings,_MSBV,Money Market,"$5,000 minimum opening deposit",Online,,Variable,,0.90%
03/09/2018,US,New York,ALLY,USD,Bank,Deposits,Savings,_MSBV,Money Market,"$25,000 minimum opening deposit",Online,,Variable,,1.00%
03/09/2018,US,New York,ALLY,USD,Bank,Deposits,CD,3MCDF,High Yield CDs_3 month,"Less than $5,000",Online,3.0,Fixed,,1.00%
03/09/2018,US,New York,ALLY,USD,Bank,Deposits,CD,6MCDF,High Yield CDs_6 month,"Less than $5,000",Online,6.0,Fixed,,1.50%
03/09/2018,US,New York,ALLY,USD,Bank,Deposits,CD,9MCDF,High Yield CDs_9 month,"Less than $5,000",Online,9.0,Fixed,,1.55%
03/09/2018,US,New York,ALLY,USD,Bank,Deposits,CD,12MCDF,High Yield CDs_12 month,"Less than $5,000",Online,12.0,Fixed,,1.75%
03/09/2018,US,New York,ALLY,USD,Bank,Deposits,CD,18MCDF,High Yield CDs_18 month,"Less than $5,000",Online,18.0,Fixed,,1.80%
03/09/2018,US,New York,ALLY,USD,Bank,Deposits,CD,36MCDF,High Yield CDs_3 year,"Less than $5,000",Online,36.0,Fixed,,1.85%
03/09/2018,US,New York,ALLY,USD,Bank,Deposits,CD,60MCDF,High Yield CDs_5 year,"Less than $5,000",Online,60.0,Fixed,,2.25%
03/09/2018,US,New York,ALLY,USD,Bank,Deposits,CD,3MCDF,High Yield CDs_3 month,"$5,000-$24,999.99",Online,3.0,Fixed,,1.25%
03/09/2018,US,New York,ALLY,USD,Bank,Deposits,CD,6MCDF,High Yield CDs_6 month,"$5,000-$24,999.99",Online,6.0,Fixed,,1.60%
03/09/2018,US,New York,ALLY,USD,Bank,Deposits,CD,9MCDF,High Yield CDs_9 month,"$5,000-$24,999.99",Online,9.0,Fixed,,1.65%
03/09/2018,US,New York,ALLY,USD,Bank,Deposits,CD,12MCDF,High Yield CDs_12 month,"$5,000-$24,999.99",Online,12.0,Fixed,,1.85%
03/09/2018,US,New York,ALLY,USD,Bank,Deposits,CD,18MCDF,High Yield CDs_18 month,"$5,000-$24,999.99",Online,18.0,Fixed,,1.95%
03/09/2018,US,New York,ALLY,USD,Bank,Deposits,CD,36MCDF,High Yield CDs_3 year,"$5,000-$24,999.99",Online,36.0,Fixed,,2.00%
03/09/2018,US,New York,ALLY,USD,Bank,Deposits,CD,60MCDF,High Yield CDs_5 year,"$5,000-$24,999.99",Online,60.0,Fixed,,2.40%
03/09/2018,US,New York,ALLY,USD,Bank,Deposits,CD,3MCDF,High Yield CDs_3 month,"$25,000 or more",Online,3.0,Fixed,,1.50%
03/09/2018,US,New York,ALLY,USD,Bank,Deposits,CD,6MCDF,High Yield CDs_6 month,"$25,000 or more",Online,6.0,Fixed,,1.75%
03/09/2018,US,New York,ALLY,USD,Bank,Deposits,CD,9MCDF,High Yield CDs_9 month,"$25,000 or more",Online,9.0,Fixed,,1.80%
03/09/2018,US,New York,ALLY,USD,Bank,Deposits,CD,12MCDF,High Yield CDs_12 month,"$25,000 or more",Online,12.0,Fixed,,2.00%
03/09/2018,US,New York,ALLY,USD,Bank,Deposits,CD,18MCDF,High Yield CDs_18 month,"$25,000 or more",Online,18.0,Fixed,,2.05%
03/09/2018,US,New York,ALLY,USD,Bank,Deposits,CD,36MCDF,High Yield CDs_3 year,"$25,000 or more",Online,36.0,Fixed,,2.10%
03/09/2018,US,New York,ALLY,USD,Bank,Deposits,CD,60MCDF,High Yield CDs_5 year,"$25,000 or more",Online,60.0,Fixed,,2.50%
03/09/2018,US,New York,ALLY,USD,Bank,Deposits,CD,24MCDF,Raise Your Rate CDs_2 year,"Less than $5,000",Online,24.0,Fixed,,2.00%
03/09/2018,US,New York,ALLY,USD,Bank,Deposits,CD,48MCDF,Raise Your Rate CDs_4 year,"Less than $5,000",Online,48.0,Fixed,,2.00%
