Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMF,Fixed Rate Mortgage _ 30-yr,,Online,30.0,Fixed,4.500%,4.528%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMF,Fixed Rate Mortgage _ 30-yr,,Online,30.0,Fixed,4.375%,4.449%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMF,Fixed Rate Mortgage _ 30-yr,,Online,30.0,Fixed,4.250%,4.377%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,25YMF,Fixed Rate Mortgage _ 25-yr,,Online,25.0,Fixed,4.625%,4.625%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,25YMF,Fixed Rate Mortgage _ 25-yr,,Online,25.0,Fixed,4.500%,4.544%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,25YMF,Fixed Rate Mortgage _ 25-yr,,Online,25.0,Fixed,4.375%,4.473%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,20YMF,Fixed Rate Mortgage _ 20-yr,,Online,20.0,Fixed,4.250%,4.296%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,20YMF,Fixed Rate Mortgage _ 20-yr,,Online,20.0,Fixed,4.125%,4.259%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,20YMF,Fixed Rate Mortgage _ 20-yr,,Online,20.0,Fixed,4.000%,4.195%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,15YMF,Fixed Rate Mortgage _ 15-yr,,Online,15.0,Fixed,4.125%,4.125%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,15YMF,Fixed Rate Mortgage _ 15-yr,,Online,15.0,Fixed,4.000%,4.068%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,15YMF,Fixed Rate Mortgage _ 15-yr,,Online,15.0,Fixed,3.875%,4.012%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,10YMF,Fixed Rate Mortgage _ 10-yr,,Online,10.0,Fixed,4.000%,4.088%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,10YMF,Fixed Rate Mortgage _ 10-yr,,Online,10.0,Fixed,3.875%,4.039%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,10YMF,Fixed Rate Mortgage _ 10-yr,,Online,10.0,Fixed,3.750%,3.986%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 10/1,,Online,30.0,Variable,4.375%,4.549%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 10/1,,Online,30.0,Variable,4.250%,4.479%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 10/1,,Online,30.0,Variable,4.125%,4.406%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 10/1,,Online,30.0,Variable,4.000%,4.339%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 10/1,,Online,30.0,Variable,3.875%,4.273%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 10/1,,Online,30.0,Variable,3.750%,4.239%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 7/1,,Online,30.0,Variable,4.500%,4.657%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 7/1,,Online,30.0,Variable,4.375%,4.610%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 7/1,,Online,30.0,Variable,4.250%,4.556%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 7/1,,Online,30.0,Variable,4.125%,4.499%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 7/1,,Online,30.0,Variable,4.000%,4.449%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 7/1,,Online,30.0,Variable,3.875%,4.399%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 7/1,,Online,30.0,Variable,3.750%,4.378%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 5/1,,Online,30.0,Variable,4.375%,4.650%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 5/1,,Online,30.0,Variable,4.250%,4.614%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 5/1,,Online,30.0,Variable,4.125%,4.579%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 5/1,,Online,30.0,Variable,4.000%,4.544%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
03/09/2018,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 5/1,,Online,30.0,Variable,3.875%,4.510%,"300,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
