Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode
 2018-03-12,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMF,Fixed Rate Mortgage _ 30-yr,,Online,30.0,Fixed,4.500%,4.537%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMF,Fixed Rate Mortgage _ 30-yr,,Online,30.0,Fixed,4.375%,4.460%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMF,Fixed Rate Mortgage _ 30-yr,,Online,30.0,Fixed,4.250%,4.387%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,25YMF,Fixed Rate Mortgage _ 25-yr,,Online,25.0,Fixed,4.625%,4.635%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,25YMF,Fixed Rate Mortgage _ 25-yr,,Online,25.0,Fixed,4.500%,4.555%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,25YMF,Fixed Rate Mortgage _ 25-yr,,Online,25.0,Fixed,4.375%,4.485%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,20YMF,Fixed Rate Mortgage _ 20-yr,,Online,20.0,Fixed,4.375%,4.381%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,20YMF,Fixed Rate Mortgage _ 20-yr,,Online,20.0,Fixed,4.250%,4.302%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,20YMF,Fixed Rate Mortgage _ 20-yr,,Online,20.0,Fixed,4.125%,4.272%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,15YMF,Fixed Rate Mortgage _ 15-yr,,Online,15.0,Fixed,4.125%,4.125%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,15YMF,Fixed Rate Mortgage _ 15-yr,,Online,15.0,Fixed,4.000%,4.078%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,15YMF,Fixed Rate Mortgage _ 15-yr,,Online,15.0,Fixed,3.875%,4.030%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,10YMF,Fixed Rate Mortgage _ 10-yr,,Online,10.0,Fixed,4.125%,4.164%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,10YMF,Fixed Rate Mortgage _ 10-yr,,Online,10.0,Fixed,4.000%,4.103%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,10YMF,Fixed Rate Mortgage _ 10-yr,,Online,10.0,Fixed,3.875%,4.054%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,10YMF,Fixed Rate Mortgage _ 10-yr,,Online,10.0,Fixed,3.750%,4.001%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-12,US,New York,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,Adjustable Rate Mortgage _ 10/1,,Online,30.0,Variable,4.500%,4.623%,"3,00,000",20%,720+,New Purchase,Primary Residence,Principal + Interest
