Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Source
 2018-04-06,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMF,30 Yr Fixed,,Online,30,Fixed,4.50%,4.53%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMF,30 Yr Fixed,,Offline,30,Fixed,4.63%,4.72%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
 2018-04-06,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM Adjustable,,Online,30,Variable,4.75%,4.88%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM Adjustable,,Offline,30,Variable,4.63%,4.90%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
 2018-04-06,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM Adjustable,,Online,30,Variable,4.63%,4.80%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM Adjustable,,Offline,30,Variable,4.63%,4.87%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
 2018-04-06,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM Adjustable,,Online,30,Variable,4.50%,4.68%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM Adjustable,,Offline,30,Variable,4.63%,4.83%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,20YMF,20 Yr Fixed,,Offline,30,Fixed,4.50%,4.63%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
 2018-04-06,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,15YMF,15 Yr Fixed,,Online,30,Fixed,4.13%,4.17%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,15YMF,15 Yr Fixed,,Offline,30,Fixed,4.13%,4.28%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,10YMF,10 Yr Fixed,,Offline,30,Fixed,4.25%,4.48%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
 2018-04-06,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMF,30 Yr Fixed,,Online,30,Fixed,4.25%,4.27%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMF,30 Yr Fixed,,Offline,30,Fixed,4.25%,4.30%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
 2018-04-06,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM Adjustable,,Online,30,Variable,3.49%,4.42%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM Adjustable,,Offline,30,Variable,3.75%,4.55%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
 2018-04-06,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM Adjustable,,Online,30,Variable,3.63%,4.32%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM Adjustable,,Offline,30,Variable,3.75%,4.41%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
 2018-04-06,US,New York,ALLY,ALLY,USD,Bank,Mortgages,Mortgages,15YMF,15 Yr Fixed,,Online,30,Fixed,3.88%,3.90%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
 2018-04-06,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,15YMF,15 Yr Fixed,,Offline,30,Fixed,4.25%,4.35%,500000,20%,720+,New Purchase,Primary Residence,Principal + Interest,bankrate.com
 2018-04-06,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30,Fixed,4.13%,4.13%,1000000,20%,720+,New Purchase,Primary Residence,Principal + Interest,mybanktracker.com
 2018-04-06,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,30,Fixed,3.38%,3.39%,1000000,20%,720+,New Purchase,Primary Residence,Principal + Interest,mybanktracker.com
 2018-04-06,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30,Variable,3.25%,3.27%,1000000,20%,720+,New Purchase,Primary Residence,Principal + Interest,mybanktracker.com
 2018-04-06,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30,Fixed,4.13%,4.13%,3000000,20%,720+,New Purchase,Primary Residence,Principal + Interest,mybanktracker.com
 2018-04-06,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,30,Fixed,3.38%,3.39%,3000000,20%,720+,New Purchase,Primary Residence,Principal + Interest,mybanktracker.com
 2018-04-06,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30,Variable,3.25%,3.27%,3000000,20%,720+,New Purchase,Primary Residence,Principal + Interest,mybanktracker.com
 2018-04-06,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30,Fixed,4.13%,4.13%,5000000,20%,720+,New Purchase,Primary Residence,Principal + Interest,mybanktracker.com
 2018-04-06,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,30,Fixed,3.38%,3.39%,5000000,20%,720+,New Purchase,Primary Residence,Principal + Interest,mybanktracker.com
 2018-04-06,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM,,Offline,30,Variable,3.25%,3.27%,5000000,20%,720+,New Purchase,Primary Residence,Principal + Interest,mybanktracker.com
 2018-04-06,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Mortgages,Mortgages,15YMF,Suntrust Bank 15 Year Fixed Rate Home Loan,,Offline,30,Fixed,3.70%,3.82%,,20%,720+,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
 2018-04-06,US,New York,JP MORGAN CHASE & Co.,JPM,USD,Bank,Mortgages,Mortgages,15YMF,Chase 15 Year Fixed Mortgage,,Offline,30,Fixed,3.88%,4.02%,,20%,720+,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
 2018-04-06,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,15YMF,Bank of America 15 Year Fixed Mortgage,,Offline,30,Fixed,4.00%,4.31%,,20%,720+,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
 2018-04-06,US,New York,WELLS FARGO,WFC,USD,Bank,Mortgages,Mortgages,15YMF,Wells Fargo 15 Year Fixed Home Loan,,Offline,30,Fixed,4.13%,4.25%,,20%,720+,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
 2018-04-06,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,Bank of America 30 Year Fixed Mortgage,,Offline,30,Fixed,4.38%,4.59%,,20%,720+,New Purchase,Primary Residence,Principal + Interest,us.deposits.org
