Date,Bank Name,Product Name,Term,Balance,Interest Rate,APY
03/02/2018,Wells Fargo,Savings Account,,$0 or more,0.01%,0.01%
03/02/2018,Wells Fargo,Savings Account,,"$0  - $24,999.99",0.03%,0.03%
03/02/2018,Wells Fargo,Savings Account,,"$25,000  - $99,999.99",1.25%,0.34%
03/02/2018,Wells Fargo,Savings Account,,"$100,000  or more",1.25%,0.35%
03/02/2018,Wells Fargo,Savings Account,,"$0  - $99,999.99",0.03%,0.03%
03/02/2018,Wells Fargo,Savings Account,,"$100,000  or more",0.05%,0.05%
03/02/2018,Wells Fargo,Certificate Of Deposite,9 months,,0.35%,0.35%
03/02/2018,Wells Fargo,Certificate Of Deposite,19 months,,1.59%,1.60%
03/02/2018,Wells Fargo,Certificate Of Deposite,39 months,,1.14%,1.15%
03/02/2018,Wells Fargo,Certificate Of Deposite,58 months,,1.19%,1.20%
03/02/2018,Wells Fargo,Certificate Of Deposite,3 months,"$0 - $4,999.99",0.01%,0.01%
03/02/2018,Wells Fargo,Certificate Of Deposite,,"$5,000 - $9,999.99",0.01%,0.01%
03/02/2018,Wells Fargo,Certificate Of Deposite,,"$10,000 - $24,999.99",0.01%,0.01%
03/02/2018,Wells Fargo,Certificate Of Deposite,,"$25,000 - $49,999.99",0.01%,0.01%
03/02/2018,Wells Fargo,Certificate Of Deposite,,"$50,000 - $99,999.99",0.01%,0.01%
03/02/2018,Wells Fargo,Certificate Of Deposite,,"$100,000 +",0.01%,0.01%
03/02/2018,Wells Fargo,Certificate Of Deposite,6 months,"$0 - $4,999.99",0.01%,0.01%
03/02/2018,Wells Fargo,Certificate Of Deposite,,"$5,000 - $9,999.99",0.01%,0.01%
03/02/2018,Wells Fargo,Certificate Of Deposite,,"$10,000 - $24,999.99",0.01%,0.01%
03/02/2018,Wells Fargo,Certificate Of Deposite,,"$25,000 - $49,999.99",0.01%,0.01%
03/02/2018,Wells Fargo,Certificate Of Deposite,,"$50,000 - $99,999.99",0.01%,0.01%
03/02/2018,Wells Fargo,Certificate Of Deposite,,"$100,000 +",0.01%,0.01%
03/02/2018,Wells Fargo,Certificate Of Deposite,1 year,"$0 - $4,999.99",0.05%,0.05%
03/02/2018,Wells Fargo,Certificate Of Deposite,,"$5,000 - $9,999.99",0.05%,0.05%
03/02/2018,Wells Fargo,Certificate Of Deposite,,"$10,000 - $24,999.99",0.05%,0.05%
03/02/2018,Wells Fargo,Certificate Of Deposite,,"$25,000 - $49,999.99",0.05%,0.05%
03/02/2018,Wells Fargo,Certificate Of Deposite,,"$50,000 - $99,999.99",0.05%,0.05%
03/02/2018,Wells Fargo,Certificate Of Deposite,,"$100,000 +",0.05%,0.05%
03/02/2018,Wells Fargo,Certificate Of Deposite,24 months,,0.35%,0.73%
