Date,Bank Name,Product Name,Term,Balance,Interest Rate,APY
3/9/2018,Wells Fargo,Wells Fargo Way2Save,,$0 or more,0.01%,0.01%
3/9/2018,Wells Fargo,Platinum Savings - Special Interest,,"$0  - $24,999.99",0.03%,0.03%
3/9/2018,Wells Fargo,Platinum Savings - Special Interest,,"$25,000  - $99,999.99",1.25%,0.34%
3/9/2018,Wells Fargo,Platinum Savings - Special Interest,,"$100,000  or more",1.25%,0.35%
3/9/2018,Wells Fargo,Platinum Savings - Standard Interest,,"$0  - $99,999.99",0.03%,0.03%
3/9/2018,Wells Fargo,Platinum Savings - Standard Interest,,"$100,000  or more",0.05%,0.05%
3/9/2018,Wells Fargo,Special CD,9,,0.35%,0.35%
3/9/2018,Wells Fargo,Special CD,19,,1.59%,1.60%
3/9/2018,Wells Fargo,Special CD,39,,1.14%,1.15%
3/9/2018,Wells Fargo,Special CD,58,,1.19%,1.20%
3/9/2018,Wells Fargo,CD,3,"$0 - $4,999.99",0.01%,0.01%
3/9/2018,Wells Fargo,CD,,"$5,000 - $9,999.99",0.01%,0.01%
3/9/2018,Wells Fargo,CD,,"$10,000 - $24,999.99",0.01%,0.01%
3/9/2018,Wells Fargo,CD,,"$25,000 - $49,999.99",0.01%,0.01%
3/9/2018,Wells Fargo,CD,,"$50,000 - $99,999.99",0.01%,0.01%
3/9/2018,Wells Fargo,CD,,"$100,000 +",0.01%,0.01%
3/9/2018,Wells Fargo,CD,6,"$0 - $4,999.99",0.01%,0.01%
3/9/2018,Wells Fargo,CD,,"$5,000 - $9,999.99",0.01%,0.01%
3/9/2018,Wells Fargo,CD,,"$10,000 - $24,999.99",0.01%,0.01%
3/9/2018,Wells Fargo,CD,,"$25,000 - $49,999.99",0.01%,0.01%
3/9/2018,Wells Fargo,CD,,"$50,000 - $99,999.99",0.01%,0.01%
3/9/2018,Wells Fargo,CD,,"$100,000 +",0.01%,0.01%
3/9/2018,Wells Fargo,CD,12,"$0 - $4,999.99",0.05%,0.05%
3/9/2018,Wells Fargo,CD,,"$5,000 - $9,999.99",0.05%,0.05%
3/9/2018,Wells Fargo,CD,,"$10,000 - $24,999.99",0.05%,0.05%
3/9/2018,Wells Fargo,CD,,"$25,000 - $49,999.99",0.05%,0.05%
3/9/2018,Wells Fargo,CD,,"$50,000 - $99,999.99",0.05%,0.05%
3/9/2018,Wells Fargo,CD,,"$100,000 +",0.05%,0.05%
,,,,,,
