Date,Bank Name,APY,Balance,Interest Rate,Term,,Product Name,Minimum Open Balance
1/3/2018,Wells_Fargo,0.01%,$0 or more,0.01%,N/A,,Wells Fargo Way2Save," $2,500 minimum opening deposit"
1/3/2018,Wells_Fargo,0.03%,"$0  - $24,999.99",0.03%,N/A,,Platinum Savings - Special Interest," $2,500 minimum opening deposit"
1/3/2018,Wells_Fargo,0.33%,"$25,000  - $99,999.99",1.25%,N/A,,Platinum Savings - Special Interest," $2,500 minimum opening deposit"
1/3/2018,Wells_Fargo,0.34%,"$100,000  or more",1.25%,N/A,,Platinum Savings - Special Interest," $2,500 minimum opening deposit"
1/3/2018,Wells_Fargo,0.03%,"$0  - $99,999.99",0.03%,N/A,,Platinum Savings - Standard Interest," $2,500 minimum opening deposit"
1/3/2018,Wells_Fargo,0.05%,"$100,000  or more",0.05%,N/A,,Platinum Savings - Standard Interest," $2,500 minimum opening deposit"
1/3/2018,Wells_Fargo,0.35%,N/A,0.35%,9 months,,Standard CD Rates," $2,500 minimum opening deposit"
1/3/2018,Wells_Fargo,1.60%,N/A,1.59%,19 months,,Standard CD Rates," $2,500 minimum opening deposit"
1/3/2018,Wells_Fargo,1.15%,N/A,1.14%,39 months,,Standard CD Rates," $2,500 minimum opening deposit"
1/3/2018,Wells_Fargo,0.01%,"$0 - $4,999.99",0.01%,3 months,,Standard CD Rates," $2,500 minimum opening deposit"
1/3/2018,Wells_Fargo,0.06%,N/A,0.01%,0.01%,,Standard CD Rates," $2,500 minimum opening deposit"
1/3/2018,Wells_Fargo,0.06%,N/A,0.01%,0.01%,,Standard CD Rates," $2,500 minimum opening deposit"
1/3/2018,Wells_Fargo,0.06%,N/A,0.01%,0.01%,,Standard CD Rates," $2,500 minimum opening deposit"
1/3/2018,Wells_Fargo,0.06%,N/A,0.01%,0.01%,,Standard CD Rates," $2,500 minimum opening deposit"
1/3/2018,Wells_Fargo,0.01%,"$0 - $4,999.99",0.01%,6 months,,Standard CD Rates," $2,500 minimum opening deposit"
1/3/2018,Wells_Fargo,0.06%,N/A,0.01%,0.01%,,Standard CD Rates," $2,500 minimum opening deposit"
1/3/2018,Wells_Fargo,0.06%,N/A,0.01%,0.01%,,Standard CD Rates," $2,500 minimum opening deposit"
1/3/2018,Wells_Fargo,0.06%,N/A,0.01%,0.01%,,Standard CD Rates," $2,500 minimum opening deposit"
1/3/2018,Wells_Fargo,0.06%,N/A,0.01%,0.01%,,Standard CD Rates," $2,500 minimum opening deposit"
1/3/2018,Wells_Fargo,0.06%,N/A,0.01%,0.01%,,Standard CD Rates," $2,500 minimum opening deposit"
1/3/2018,Wells_Fargo,0.05%,"$0 - $4,999.99",0.05%,1 year,,Standard CD Rates," $2,500 minimum opening deposit"
1/3/2018,Wells_Fargo,0.10%,N/A,0.05%,0.05%,,Standard CD Rates," $2,500 minimum opening deposit"
1/3/2018,Wells_Fargo,0.10%,N/A,0.05%,0.05%,,Standard CD Rates," $2,500 minimum opening deposit"
1/3/2018,Wells_Fargo,0.10%,N/A,0.05%,0.05%,,Standard CD Rates," $2,500 minimum opening deposit"
1/3/2018,Wells_Fargo,0.10%,N/A,0.05%,0.05%,,Standard CD Rates," $2,500 minimum opening deposit"
1/3/2018,Wells_Fargo,0.10%,N/A,0.05%,0.05%,,Standard CD Rates," $2,500 minimum opening deposit"
1/3/2018,Wells_Fargo,0.73%,N/A,0.35%,24 months,,Standard CD Rates," $2,500 minimum opening deposit"
,,,,,,,,
,,,,,,,,
,,,,,,,,
